Formal Name,Course Name,Prerequisites,Corequisites,Requirement
MAE 1106,INTRODUCTION TO AEROSPACE ENGINEERING,['MATH 1426'],[None],required
MAE 1107,INTRODUCTION TO MECHANICAL ENGINEERING,['MATH 1426'],[None],required
MAE 1140,PROBLEMS IN MECHANICAL AND AEROSPACE ENGINEERING,['MATH 1426'],[None],required
MAE 1312,ENGINEERING STATICS,"['MAE 1140', 'MATH 1426', 'PHYS 1443']",[None],required
MAE 1351,INTRODUCTION TO ENGINEERING DESIGN,['MATH 1426'],[None],required
MAE 2000,UNDERGRADUATE RESEARCH,[None],[None],required
MAE 2010,AUTOMOTIVE ENGINEERING PRACTICUM I,[None],[None],required
MAE 2312,SOLID MECHANICS,"['MAE 1140', 'MAE 1312']",[None],required
MAE 2323,DYNAMICS,"['MAE 1140', 'MAE 1312', 'MATH 2425']",[None],required
MAE 2360,NUMERICAL ANALYSIS & PROGRAMMING,['MATH 1426'],[None],required
MAE 2381,EXPERIMENTAL METHODS AND MEASUREMENTS,"['MAE 1351', 'MATH 2425', 'PHYS 1443']",[None],required
MAE 2391,SPECIAL PROBLEMS IN MECHANICAL AND AEROSPACE ENGINEERING,[None],[None],required
MAE 3000,UNDERGRADUATE RESEARCH,[None],[None],required
MAE 3181,MATERIALS AND STRUCTURES LAB,"['MAE 2381', 'MAE 3315']",[None],required
MAE 3182,AERODYNAMICS AND FLUIDS LAB,"['MAE 2381', 'MAE 3302', 'MAE 3303']",[None],required
MAE 3183,MEASUREMENTS LABORATORY II,"['MAE 2381', 'MAE 3314', 'MAE 3319']",[None],required
MAE 3185,INTRODUCTION TO MECHATRONICS,"['MAE 2360', 'MAE 2381', 'MAE 3360', 'EE 2320']",[None],required
MAE 3242,MECHANICAL DESIGN I,"['MAE 2312', 'MAE 2323', 'MAE 3324']",[None],required
MAE 3301,FLUID DYNAMICS,"['MAE 1106', 'MAE 2323', 'MAE 3309', 'MAE 3360']",[None],required
MAE 3302,INCOMPRESSIBLE AERODYNAMICS,"['MAE 3301', 'MAE 2323', 'MAE 3309', 'MAE 3360']",[None],required
MAE 3303,COMPRESSIBLE FLOW,"['MAE 3301', 'MAE 2323', 'MAE 3309', 'MAE 3360']",[None],required
MAE 3304,ASTRONAUTICS I,"['MATH 3330', 'PHYS 1443', 'PHYS 1444', 'MATH 2326']",[None],required
MAE 3305,SPACECRAFT SYSTEMS ENGINEERING,['MAE 3304'],[None],required
MAE 3306,"FLIGHT PERFORMANCE, STABILITY & CONTROL","['MAE 3302', 'MAE 3303']",[None],required
MAE 3307,SPACECRAFT DYNAMICS AND CONTROL,['MAE 3304'],[None],required
MAE 3308,SPACE ENVIRONMENT,['MAE 3304'],[None],required
MAE 3309,THERMAL ENGINEERING,"['CHEM 1465', 'CHEM 1442', 'MATH 2425', 'PHYS 1444']",[None],required
MAE 3310,THERMODYNAMICS I,"['CHEM 1465', 'CHEM 1442', 'MATH 2425', 'PHYS 1444']",[None],required
MAE 3311,THERMODYNAMICS II,"['MAE 3313', 'MAE 3310']",[None],required
MAE 3313,FLUID MECHANICS,"['MAE 2323', 'MAE 2360', 'MAE 3360', 'MAE 3310']",[None],required
MAE 3314,HEAT TRANSFER,['MAE 3313'],[None],required
MAE 3315,AEROSPACE STRUCTURAL STATICS,['MAE 2312'],[None],required
MAE 3318,KINEMATICS AND DYNAMICS OF MACHINES,['MAE 2323'],[None],required
MAE 3319,DYNAMIC SYSTEMS MODELING AND SIMULATION,"['MAE 3314', 'EE 2320', 'MATH 3330']",[None],required
MAE 3324,STRUCTURE & MECHANICAL BEHAVIOR OF MATERIALS,"['CHEM 1465', 'CHEM 1442', 'MAE 2312', 'PHYS 1444']",[None],required
MAE 3344,INTRODUCTION TO MANUFACTURING ENGINEERING,"['MAE 2312', 'MAE 3324']",[None],required
MAE 3360,ENGINEERING ANALYSIS,"['MATH 2326', 'MAE 2360']",[None],required
MAE 3405,FLIGHT DYNAMICS,"['MAE 3306', 'MATH 3330']",[None],required
MAE 4000,UNDERGRADUATE RESEARCH,[None],[None],required
MAE 4010,AUTOMOTIVE ENGINEERING PRACTICUM II,[None],[None],required
MAE 4151,AEROSPACE VEHICLE DESIGN II,['MAE 4350'],[None],required
MAE 4188,DESIGN PROJECT LABORATORY II,['MAE 4287'],[None],required
MAE 4191,SPECIAL PROBLEMS IN MECHANICAL AND AEROSPACE ENGINEERING,[None],[None],required
MAE 4287,DESIGN PROJECT I,"['MAE 3319', 'MAE 4344']",[None],required
MAE 4291,SPECIAL PROBLEMS IN MECHANICAL AND AEROSPACE ENGINEERING,[None],[None],required
MAE 4301,SPECIAL TOPICS IN MECHANICAL AND AEROSPACE ENGINEERING,[None],[None],required
MAE 4302,INTRODUCTION TO BEARING DESIGN AND LUBRICATION,['MAE 3313'],[None],required
MAE 4304,ASTRONAUTICS II,['MAE 3304'],[None],required
MAE 4305,FUNDAMENTALS OF ELECTRONIC PACKAGING,['MAE 3314'],[None],required
MAE 4306,COMPUTATIONAL TECHNIQUES FOR ELECTRONIC PACKAGING,['MAE 3314'],[None],required
MAE 4307,FINITE ELEMENT METHODS,['MAE 3242'],[None],required
MAE 4308,SPACE MISSION CONCEPTUAL DESIGN,['MAE 3305'],[None],required
MAE 4310,INTRODUCTION TO AUTOMATIC CONTROL,"['MAE 3314', 'MAE 3319', 'EE 2320']",[None],required
