Formal Name,Course Name,Prerequisites,Corequisites,Requirement
MANA 1301,BUSINESS IN A GLOBAL ENVIRONMENT,[None],[None],required
MANA 2302,COMMUNICATIONS IN ORGANIZATIONS,[None],[None],required
MANA 3318,MANAGING ORGANIZATIONAL BEHAVIOR,[None],[None],required
MANA 3319,CONTEMPORARY MANAGERIAL CHALLENGES,[None],[None],required
MANA 3321,NONPROFIT AND VOLUNTEER MANAGEMENT,[None],[None],required
MANA 4191,STUDIES IN MANAGEMENT,[None],[None],required
MANA 4291,STUDIES IN MANAGEMENT,[None],[None],required
MANA 4321,INTERNATIONAL MANAGEMENT,[None],[None],required
MANA 4322,STRATEGIC MANAGEMENT,"['ACCT 2301', 'ACCT 2302', 'STAT 3321', 'ECON 2305', 'ECON 2306', 'FINA 3313', 'MANA 3318', 'MARK 3321']",[None],required
MANA 4325,LEADERSHIP IN ORGANIZATIONS,['MANA 3318'],[None],required
MANA 4326,DIVERSITY IN ORGANIZATIONS,[None],[None],required
MANA 4329,DISABILITY & WORK,['MANA 4326'],[None],required
MANA 4330,TEAM MANAGEMENT,['MANA 3318'],[None],required
MANA 4331,SEMINAR IN MANAGEMENT,[None],[None],required
MANA 4340,BUSINESS AND SOCIETY,[None],[None],required
MANA 4341,NEGOTIATIONS AND CONFLICT RESOLUTION,['MANA 3318'],[None],required
MANA 4390,CAREER DEVELOPMENT AND PROFESSIONAL SKILLS,[None],[None],required
MANA 4391,STUDIES IN MANAGEMENT,[None],[None],required
MANA 4393,MANAGEMENT INTERNSHIP,[None],[None],required
MANA 5182,INDEPENDENT STUDIES IN MANAGEMENT,[None],[None],required
MANA 5199,GRADUATE MANAGEMENT INTERNSHIP,[None],[None],required
MANA 5299,GRADUATE MANAGEMENT INTERNSHIP,[None],[None],required
MANA 5312,MANAGING THE ENTERPRISE,[None],[None],required
MANA 5320,ORGANIZATIONAL BEHAVIOR,[None],[None],required
MANA 5321,COMPLEX ORGANIZATIONS,['MANA 5312'],[None],required
MANA 5322,COMPENSATION & REWARD SYSTEMS,[None],[None],required
MANA 5323,TRAINING AND DEVELOPMENT,[None],[None],required
MANA 5324,TEAM AND GROUP BEHAVIOR,[None],[None],required
MANA 5325,LABOR AND EMPLOYEE RELATIONS,[None],[None],required
MANA 5326,ORGANIZATION DEVELOPMENT AND CHANGE,[None],[None],required
MANA 5327,HUMAN RESOURCE LAW,[None],[None],required
MANA 5329,HR METRICS AND ANALYTICS,[None],[None],required
MANA 5330,NEGOTIATIONS & CONFLICT MANAGEMENT,[None],[None],required
MANA 5331,MANAGEMENT OF MULTINATIONAL ENTERPRISES,[None],[None],required
MANA 5332,MANAGING DIVERSITY IN ORGANIZATIONS,[None],[None],required
MANA 5333,"INNOVATION, CREATIVITY AND ENTREPRENEURSHIP",[None],[None],required
MANA 5334,ORGANIZATION CONSULTING & RESEARCH,[None],[None],required
MANA 5336,STRATEGIC MANAGEMENT,[None],[None],required
MANA 5337,ETHICS AND THE BUSINESS ENVIRONMENT,[None],[None],required
MANA 5338,CAREERS & MANAGING IN A CHANGING ENVIRONMENT,[None],[None],required
MANA 5339,ENTREPRENEURSHIP,[None],[None],required
MANA 5340,STRATEGIC HUMAN RESOURCE MANAGEMENT,[None],[None],required
MANA 5341,STAFFING AND PERFORMANCE MANAGEMENT,[None],[None],required
MANA 5342,PREVENTIVE STRESS MANAGEMENT,[None],[None],required
MANA 5344,EVIDENCE-BASED MANAGEMENT,[None],[None],required
MANA 5345,SOCIAL ENTREPRENEURSHIP,[None],[None],required
MANA 5348,HUMAN RESOURCE BUSINESS STRATEGY,[None],[None],required
MANA 5350,EFFECTIVE LEADERSHIP,[None],[None],required
MANA 5360,LEADERSHIP AND TEAMS,[None],[None],required
MANA 5382,INDEPENDENT STUDIES IN MANAGEMENT,[None],[None],required
MANA 5392,SELECTED TOPICS IN MANAGEMENT,[None],[None],required
MANA 5398,THESIS,[None],[None],required
MANA 5399,GRADUATE MANAGEMENT INTERNSHIP,[None],[None],required
MANA 5698,THESIS,[None],[None],required
MANA 6182,INDEPENDENT STUDIES IN MANAGEMENT,[None],[None],required
MANA 6282,INDEPENDENT STUDIES IN MANAGEMENT,[None],[None],required
MANA 6318,SEMINAR IN ORGANIZATIONAL THEORY,[None],[None],required
MANA 6328,SEMINAR IN BUSINESS POLICY,[None],[None],required
MANA 6329,ADVANCED RESEARCH METHODS,[None],[None],required
MANA 6338,SEMINAR IN ORGANIZATIONAL BEHAVIOR,[None],[None],required
MANA 6348,SEMINAR IN HUMAN RESOURCE MANAGEMENT,[None],[None],required
MANA 6382,INDEPENDENT STUDIES IN MANAGEMENT,[None],[None],required
MANA 6390,ADVANCED TOPICS IN MANAGEMENT,[None],[None],required
MANA 6392,RESEARCH IN ADMINISTRATION,[None],[None],required
