Formal Name,Course Name,Prerequisites,Corequisites,Requirement
MARK 3321,PRINCIPLES OF MARKETING,[None],[None],required
MARK 3322,PROFESSIONAL SELLING,['MARK 3321'],[None],required
MARK 3323,INTEGRATED MARKETING COMMUNICATION / ADVERTISING,['MARK 3321'],[None],required
MARK 3324,CONSUMER BEHAVIOR,['MARK 3321'],[None],required
MARK 3332,"PHILIANTHROPY, FUNDRAISING, AND PROFESSIONAL SELLING",['MARK 3321'],[None],required
MARK 3342,MARKETING AND PHILANTHROPIC STRATEGY,['MARK 3321'],[None],required
MARK 3370,SOCIAL MEDIA MARKETING,['MARK 3321'],[None],required
MARK 4191,STUDIES IN MARKETING,[None],[None],required
MARK 4291,STUDIES IN MARKETING,[None],[None],required
MARK 4303,RETAIL MARKETING,['MARK 3321'],[None],required
MARK 4308,MANAGEMENT AND LEADERSHIP OF THE SALES FORCE,['MARK 3322'],[None],required
MARK 4310,DIGITAL MARKETING,['MARK 3321'],[None],required
MARK 4311,MARKETING RESEARCH,"['MARK 3321', 'STAT 3321']",[None],required
MARK 4320,PRODUCT AND BRAND STRATEGY,['MARK 3321'],[None],required
MARK 4322,ADVANCED MARKETING MANAGEMENT AND STRATEGY,"['MARK 3321', 'MARK 3324', 'MARK 4311']",[None],required
MARK 4325,INTERNATIONAL MARKETING,['MARK 3321'],[None],required
MARK 4331,SEMINAR IN MARKETING,[None],[None],required
MARK 4335,MULTICULTURAL MARKETING,['MARK 3321'],[None],required
MARK 4391,STUDIES IN MARKETING,[None],[None],required
MARK 4393,MARKETING INTERNSHIP,[None],[None],required
MARK 5142,ADVANCED TOPICS IN MARKETING RESEARCH,[None],[None],required
MARK 5182,INDEPENDENT STUDIES IN MARKETING,[None],[None],required
MARK 5199,GRADUATE MARKETING INTERNSHIP,[None],[None],required
MARK 5282,INDEPENDENT STUDIES IN MARKETING,[None],[None],required
MARK 5299,GRADUATE MARKETING INTERNSHIP,[None],[None],required
MARK 5311,MARKETING,[None],[None],required
MARK 5320,BUYER BEHAVIOR,[None],[None],required
MARK 5326,INTEGRATED MARKETING COMMUNICATION,['MARK 5311'],[None],required
MARK 5327,RESEARCH FOR MARKETING DECISIONS,[None],[None],required
MARK 5328,PRODUCT MANAGEMENT,['MARK 5311'],[None],required
MARK 5329,SALES AND SALES MANAGEMENT,[None],[None],required
MARK 5330,SERVICES MARKETING MANAGEMENT,['MARK 5311'],[None],required
MARK 5331,INTERNATIONAL MARKETING,['MARK 5311'],[None],required
MARK 5332,BUSINESS-TO-BUSINESS MARKETING,['MARK 5311'],[None],required
MARK 5334,STRATEGIC INTERNET MARKETING,['MARK 5311'],[None],required
MARK 5335,"RETAILING, FRANCHISING, AND ENTREPRENEURSHIP",['MARK 5311'],[None],required
MARK 5337,MARKETING ANALYTICS AND INFORMATION MANAGEMENT,['MARK 5311'],[None],required
MARK 5338,APPLIED QUALITATIVE RESEARCH IN BUSINESS,['MARK 5327'],[None],required
MARK 5340,MARKETING STRATEGY,['MARK 5311'],[None],required
MARK 5341,CONTEMPORARY TOPICS IN MARKETING RESEARCH,['MARK 5327'],[None],required
MARK 5342,ADVANCED TOPICS IN MARKETING RESEARCH II,[None],[None],required
MARK 5343,MULTIVARIATE MODELS FOR BUSINESS DECISIONS,"['MARK 5327', 'STAT 5325']",[None],required
MARK 5344,BUSINESS PREDICTION & CLASSIFICATION TOOLS,"['MARK 5327', 'STAT 5325']",[None],required
MARK 5350,MULTICULTURAL RESEARCH METHODS,['STAT 5301'],[None],required
MARK 5370,SOCIAL MEDIA MARKETING,[None],[None],required
MARK 5382,INDEPENDENT STUDIES IN MARKETING,[None],[None],required
MARK 5396,MARKETING RESEARCH INTERNSHIP I,[None],[None],required
MARK 5397,MARKETING RESEARCH INTERNSHIP II,[None],[None],required
MARK 5398,THESIS,['STAT 5325'],[None],required
MARK 5399,GRADUATE MARKETING INTERNSHIP,[None],[None],required
MARK 5698,THESIS,['STAT 5325'],[None],required
MARK 6302,CONSUMER BEHAVIOR I,[None],[None],required
MARK 6303,CONSUMER BEHAVIOR II,['MARK 6302'],[None],required
MARK 6305,MARKETING MODELS I,[None],[None],required
MARK 6311,MARKETING STRATEGY AND MANAGEMENT II,['MARK 6310'],[None],required
MARK 6327,ADVANCED MARKETING RESEARCH METHODS,[None],[None],required
MARK 6331,ADVANCED GLOBAL MARKETING THEORY,[None],[None],required
MARK 6390,TOPICS IN MARKETING,[None],[None],required
MARK 6392,INDEPENDENT STUDY IN MARKETING,[None],[None],required
