Formal Name,Course Name,Prerequisites,Corequisites,Requirement
MAS 2300,INTRODUCTION TO MEXICAN AMERICAN STUDIES,[None],[None],required
MAS 3301,INTRODUCTION TO LATINA/HISPANIC FEMINISM,[None],[None],required
MAS 3310,LATINOS IN THE U.S.,[None],[None],required
MAS 3312,LATIN AMERICAN CULTURE AND CIVILIZATION,['SPAN 2314'],[None],required
MAS 3314,THE LATINA EXPERIENCE,[None],[None],required
MAS 3316,LATINO HEALTH ISSUES,[None],[None],required
MAS 3317,MEXICAN POLITICS AND U.S.-MEXICO RELATIONS,"['POLS 2311', 'POLS 2312']",[None],required
MAS 3318,"BORDERS, CULTURES, AND CARTELS",[None],[None],required
MAS 3319,DIVERSE POPULATIONS,[None],[None],required
MAS 3320,U.S. IMMIGRATION POLICY AND THE AMERICAN DREAM,[None],[None],required
MAS 3321,MEXICAN-AMERICAN HISTORY,[None],[None],required
MAS 3322,"RACE, LATINOS, AND THE AMERICAN NARRATIVE",[None],[None],required
MAS 3330,CULTURAL DIVERSITY AND IDENTITY,[None],[None],required
MAS 4310,MAS 3343. LATINO/A LITERATURE,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
MAS 3346,MEXICAN AMERICAN AND CHICANO/A LITERATURE,[None],[None],required
MAS 3347,TOPICS IN MULTICULTURAL AMERICAN LITERATURES,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
MAS 3348,LATINO IMMIGRATION TO THE U.S.,[None],[None],required
MAS 3363,TEXAS TO 1850,[None],[None],required
MAS 3364,TEXAS SINCE 1845,[None],[None],required
MAS 3375,LATIN AMERICAN HISTORY: ORIGINS THROUGH INDEPENDENCE,[None],[None],required
MAS 3376,LATIN AMERICAN HISTORY: POST-INDEPENDENCE TO THE PRESENT,[None],[None],required
MAS 3377,HISTORY OF MEXICO,[None],[None],required
MAS 3378,LATINO POLITICS,[None],[None],required
MAS 3379,LATINO POLITICAL THOUGHT,[None],[None],required
MAS 3380,"RACE, CRIME, AND JUSTICE",['CRCJ 2334'],[None],required
MAS 4313,TOPICS IN HISPANIC CULTURE,['SPAN 3315'],[None],required
MAS 4315,"TOPICS IN CONTEMPORARY LATIN-AMERICAN LITERATURE AND CULTURE, MODERNISM TO THE PRESENT",['SPAN 3315'],[None],required
MAS 4317,U.S.-MEXICO LITERATURE & CULTURE,['SPAN 3315'],[None],required
MAS 4318,MEXICAN LITERATURE,['SPAN 3315'],[None],required
MAS 4319,POLITICS OF MEXICAN AMERICANS,"['POLS 2311', 'POLS 2312']",[None],required
MAS 4327,WOMEN IN HISPANIC LITERATURE,[None],[None],required
MAS 4350,TOPICS IN MEXICAN AMERICAN STUDIES,[None],[None],required
MAS 4360,CONFERENCE COURSE,[None],[None],required
MAS 4370,CAPSTONE MEXICAN AMERICAN STUDIES,[None],[None],required
MAS 4391,CONFERENCE COURSE,[None],[None],required
MAS 4393,MEXICAN AMERICAN STUDIES INTERNSHIP,[None],[None],required
