Formal Name,Course Name,Prerequisites,Corequisites,Requirement
MATH 0100,DEVELOPMENTAL MATHEMATICS SUPPORT,[None],[None],required
MATH 0101,DEVELOPMENTAL MATHEMATICS SUPPORT,[None],['MATH 1301'],required
MATH 0102,INTERMEDIATE ALGEBRA SUPPORT,[None],['MATH 1302'],required
MATH 0115,INTERMEDIATE ALGEBRA SUPPORT FOR BUSINESS,[None],['MATH 1315'],required
MATH 0302,FUNDAMENTALS OF ALGEBRA,[None],[None],required
MATH 0311,FOUNDATIONS FOR CONTEMPORARY MATHEMATICS,[None],[None],required
MATH 0312,FOUNDATIONS FOR ALGEBRA,[None],['MATH 1302'],required
MATH 0315,FOUNDATIONS FOR BUSINESS ALGEBRA,[None],['MATH 1315'],required
MATH 1301,CONTEMPORARY MATHEMATICS,[None],[None],required
MATH 1302,COLLEGE ALGEBRA,[None],[None],required
MATH 1303,TRIGONOMETRY,"['MATH 1301', 'MATH 1302', 'MATH 1402', 'MATH 1308', 'MATH 1315']",[None],required
MATH 1308,ELEMENTARY STATISTICAL ANALYSIS,[None],[None],required
MATH 1309,STATISTICAL LITERACY,[None],[None],required
MATH 1313,LIBERAL ARTS HONORS MATHEMATICS,[None],[None],required
MATH 1315,COLLEGE ALGEBRA FOR ECONOMICS & BUSINESS ANALYSIS,[None],[None],required
MATH 1316,MATHEMATICS FOR ECONOMICS AND BUSINESS ANALYSIS,['MATH 1315'],[None],required
MATH 1324,ALGEBRA AND TRIGONOMETRY,[None],[None],required
MATH 1325,ANALYTIC GEOMETRY,['MATH 1301'],[None],required
MATH 1327,ARCHITECTURAL CALCULUS WITH ANALYTIC GEOMETRY,['MATH 1303'],[None],required
MATH 1330,ARITHMETICAL PROBLEM SOLVING,['MATH 1301'],[None],required
MATH 1331,GEOMETRICAL INFERENCE AND REASONING,['MATH 1330'],[None],required
MATH 1332,"FUNCTIONS, DATA, AND APPLICATIONS",['MATH 1330'],[None],required
MATH 1402,COLLEGE ALGEBRA,[None],[None],required
MATH 1421,PREPARATION FOR CALCULUS,['MATH 1302'],[None],required
MATH 1426,CALCULUS I,[None],[None],required
MATH 2326,CALCULUS III,['MATH 2425'],[None],required
MATH 2330,FUNCTIONS AND MODELING,"['MATH 2425', 'SCIE 1201']",[None],required
MATH 2333,INTRODUCTION TO LINEAR ALGEBRA,['MATH 2425'],[None],required
MATH 2425,CALCULUS II,['MATH 1426'],[None],required
MATH 3300,INTRODUCTION TO PROOFS,[None],[None],required
MATH 3301,FOUNDATIONS OF GEOMETRY,['MATH 2425'],[None],required
MATH 3302,MULTIVARIATE STATISTICAL METHODS,['MATH 3313'],[None],required
MATH 3303,MATHEMATICAL GAME THEORY,['MATH 3330'],[None],required
MATH 3304,LINEAR OPTIMIZATION APPLICATIONS,['MATH 3330'],[None],required
MATH 3307,ELEMENTARY NUMBER THEORY,[None],[None],required
MATH 3313,INTRODUCTION TO PROBABILITY,['MATH 2326'],[None],required
MATH 3314,DISCRETE MATHEMATICS,['MATH 1426'],[None],required
MATH 3315,MATHEMATICAL MODELS,['MATH 2326'],[None],required
MATH 3316,STATISTICAL INFERENCE,"['MATH 1302', 'MATH 1308', 'MATH 1322', 'MATH 1323', 'MATH 1330', 'MATH 1331', 'MATH 1332', 'MATH 1402', 'MATH 1421', 'MATH 1426', 'MATH 2425', 'MATH 2326', 'MATH 3300', 'MATH 3307', 'MATH 3314', 'MATH 3319', 'MATH 3330', 'SC 1426', 'SC 2425']",[None],required
MATH 3318,DIFFERENTIAL EQUATIONS,['MATH 2326'],[None],required
MATH 3319,DIFFERENTIAL EQUATIONS & LINEAR ALGEBRA,['MATH 2425'],[None],required
MATH 3321,ABSTRACT ALGEBRA I,"['MATH 3300', 'MATH 3330']",[None],required
MATH 3330,INTRODUCTION TO LINEAR ALGEBRA AND VECTOR SPACES,['MATH 2425'],[None],required
MATH 3335,ANALYSIS I,"['MATH 2326', 'MATH 3300']",[None],required
MATH 3345,NUMERICAL ANALYSIS AND COMPUTER APPLICATIONS,"['MATH 2326', 'MATH 3330']",[None],required
MATH 4093,UNDERGRADUATE RESEARCH,[None],[None],required
MATH 4150,SEMINAR IN MATHEMATICAL BIOLOGY,[None],[None],required
MATH 4180,ORAL COMMUNICATION OF MATHEMATICS,[None],[None],required
MATH 4191,SPECIAL TOPICS IN MATHEMATICS,[None],[None],required
MATH 4291,SPECIAL TOPICS IN MATHEMATICS,[None],[None],required
MATH 4303,INTRODUCTION TO TOPOLOGY,['MATH 3335'],[None],required
MATH 4311,STOCHASTIC MODELS AND SIMULATION,"['MATH 2326', 'MATH 3313']",[None],required
MATH 4312,ACTUARIAL RISK ANALYSIS,['MATH 3313'],[None],required
MATH 4313,MATHEMATICAL STATISTICS,['MATH 3313'],[None],required
MATH 4314,ADVANCED DISCRETE MATHEMATICS,['MATH 3314'],[None],required
MATH 4315,MATHEMATICAL FINANCE,['MATH 3313'],[None],required
MATH 4320,ADVANCED DIFFERENTIAL EQUATIONS,['MATH 3318'],[None],required
MATH 4321,ABSTRACT ALGEBRA II,['MATH 3321'],[None],required
MATH 4322,INTRODUCTION TO COMPLEX VARIABLES,['MATH 2326'],[None],required
MATH 4324,INTRODUCTION TO PARTIAL DIFFERENTIAL EQUATIONS,['MATH 3318'],[None],required
MATH 4330,ADVANCED LINEAR ALGEBRA,['MATH 3330'],[None],required
MATH 4334,ADVANCED MULTIVARIABLE CALCULUS,"['MATH 3335', 'MATH 3330']",[None],required
MATH 4335,ANALYSIS II,['MATH 3335'],[None],required
MATH 4345,NUMERICAL ANALYSIS & COMPUTER APPLICATIONS II,['MATH 3345'],[None],required
MATH 4350,PRECALCULUS FOR MID-LEVEL MATHEMATICS TEACHERS,"['MATH 1302', 'MATH 1308', 'MATH 1330', 'MATH 1331', 'MATH 1332']",[None],required
MATH 4351,CALCULUS FOR MID-LEVEL MATHEMATICS TEACHERS,['MATH 4350'],[None],required
MATH 4381,MATHEMATICS RESEARCH,[None],[None],required
MATH 4391,SPECIAL TOPICS IN MATHEMATICS,[None],[None],required
MATH 4392,ADVANCED TOPICS IN MATHEMATICS,[None],[None],required
MATH 4393,HONORS THESIS/SENIOR PROJECT,[None],[None],required
MATH 4394,UNDERGRADUATE RESEARCH EXPERIENCES,[None],[None],required
MATH 5190,INTERNSHIP FOR MATHEMATICAL SCIENCES,[None],[None],required
MATH 5191,SEMINAR FOR TEACHING ASSISTANTS,[None],[None],required
MATH 5300,INTRODUCTION TO SCIENTIFIC COMPUTING,[None],[None],required
MATH 5302,FUNDAMENTALS OF MATHEMATICAL SCIENCES I,"['MATH 3318', 'MATH 3330']",[None],required
MATH 5303,FUNDAMENTALS OF MATHEMATICAL SCIENCES II,['MATH 5302'],[None],required
MATH 5304,GENERAL TOPOLOGY,['MATH 4304'],[None],required
MATH 5305,STATISTICAL METHODS,[None],[None],required
MATH 5307,MATHEMATICAL ANALYSIS I,['MATH 4335'],[None],required
MATH 5308,MATHEMATICAL ANALYSIS II,['MATH 5307'],[None],required
MATH 5310,MATHEMATICAL GAME THEORY,['MATH 3330'],[None],required
MATH 5311,APPLIED PROBABILITY AND STOCHASTIC PROCESSES,['MATH 3313'],[None],required
MATH 5312,MATHEMATICAL STATISTICS I,['MATH 3335'],[None],required
MATH 5313,MATHEMATICAL STATISTICS II,['MATH 5312'],[None],required
MATH 5314,EXPERIMENTAL DESIGN,['MATH 5305'],[None],required
MATH 5315,GRAPH THEORY,['MATH 3314'],[None],required
MATH 5316,COMBINATORIAL OPTIMIZATION,['MATH 3314'],[None],required
MATH 5317,REAL ANALYSIS,['MATH 5307'],[None],required
MATH 5318,FUNDAMENTALS OF STOCHASTIC ANALYSIS,['MATH 5317'],[None],required
MATH 5319,PROBABILITY THEORY,['MATH 5317'],[None],required
MATH 5320,ORDINARY DIFFERENTIAL EQUATIONS,"['MATH 5307', 'MATH 5333']",[None],required
MATH 5321,APPLIED PARTIAL DIFFERENTIAL EQUATIONS,"['MATH 5307', 'MATH 5333']",[None],required
MATH 5322,COMPLEX VARIABLES I,['MATH 5307'],[None],required
MATH 5325,ALGEBRAIC NUMBER THEORY,['MATH 3321'],[None],required
MATH 5326,ALGEBRAIC TOPOLOGY,"['MATH 3321', 'MATH 3335']",[None],required
MATH 5327,FUNCTIONAL ANALYSIS I,['MATH 5317'],[None],required
MATH 5328,FUNCTIONAL ANALYSIS II,['MATH 5327'],[None],required
MATH 5329,HOMOLOGICAL ALGEBRA,[None],[None],required
MATH 5330,ALGEBRAIC GEOMETRY,['MATH 4321'],[None],required
MATH 5331,ABSTRACT ALGEBRA I,[None],[None],required
MATH 5332,ABSTRACT ALGEBRA II,['MATH 5331'],[None],required
MATH 5333,LINEAR ALGEBRA AND MATRICES,['MATH 3330'],[None],required
MATH 5334,DIFFERENTIAL GEOMETRY,['MATH 4334'],[None],required
MATH 5336,CONCEPTS AND TECHNIQUES IN NUMBER THEORY,[None],[None],required
MATH 5337,CONCEPTS AND TECHNIQUES IN CALCULUS,[None],[None],required
MATH 5338,NUMERICAL ANALYSIS I,['MATH 2425'],[None],required
MATH 5339,NUMERICAL ANALYSIS II,['MATH 5338'],[None],required
MATH 5340,DISCRETE MATHEMATICS FOR PROBLEM SOLVING,[None],[None],required
MATH 5341,MODERN GEOMETRY,[None],[None],required
MATH 5342,CONCEPTS AND TECHNIQUES IN ALGEBRA,[None],[None],required
MATH 5343,CONCEPTS AND TECHNIQUES IN PROBABILITY AND STATISTICS,[None],[None],required
MATH 5344,MATHEMATICS-SPECIFIC TECHNOLOGIES,[None],[None],required
MATH 5345,HISTORICAL APPROACH TO REAL ANALYSIS,['MATH 5337'],[None],required
MATH 5346,CONCEPTS AND TECHNIQUES IN PROBLEM SOLVING,[None],[None],required
MATH 5347,CONCEPTS AND TECHNIQUES IN MATHEMATICAL MODELING WITH APPLICATIONS,[None],[None],required
MATH 5348,ADVANCED ALGEBRA IN SECONDARY SCHOOL MATHEMATICS,[None],[None],required
MATH 5350,APPLIED MATHEMATICS I,"['MATH 5307', 'MATH 5333']",[None],required
