Formal Name,Course Name,Prerequisites,Corequisites,Requirement
ME 5000,PREPARATORY COURSE FOR MECHANICAL ENGINEERING,[None],[None],required
ME 5010,AUTOMOTIVE ENGINEERING PRACTICUM,[None],[None],required
ME 5101,GRADUATE SEMINAR,[None],[None],required
ME 5191,PROJECT STUDIES IN MECHANICAL ENGINEERING,[None],[None],required
ME 5197,RESEARCH IN MECHANICAL ENGINEERING,[None],[None],required
ME 5291,PROJECT STUDIES IN MECHANICAL ENGINEERING,[None],[None],required
ME 5297,RESEARCH IN MECHANICAL ENGINEERING,[None],[None],required
ME 5302,INTRODUCTION TO BEARING DESIGN AND LUBRICATION,[None],[None],required
ME 5303,CLASSICAL METHODS OF CONTROL SYSTEMS ANALYSIS AND SYNTHESIS,[None],[None],required
ME 5305,DYNAMIC SYSTEMS MODELING,[None],[None],required
ME 5306,FLUID POWER CONTROL,[None],[None],required
ME 5310,FINITE ELEMENT METHODS,[None],[None],required
ME 5311,STRUCTURAL DYNAMICS,[None],[None],required
ME 5312,CONTINUUM MECHANICS,[None],[None],required
ME 5313,FLUID DYNAMICS,[None],[None],required
ME 5315,FUNDAMENTALS OF COMPOSITES,[None],[None],required
ME 5316,THERMAL CONDUCTION,[None],[None],required
ME 5317,CONVECTION HEAT TRANSFER,[None],[None],required
ME 5318,RADIATIVE HEAT TRANSFER,[None],[None],required
ME 5319,ADVANCED FINITE ELEMENT METHODS,['ME 5310'],[None],required
ME 5320,DESIGN OPTIMIZATION,['AE 5310'],[None],required
ME 5321,ADVANCED CLASSICAL THERMODYNAMICS,[None],[None],required
ME 5322,ADVANCED STRUCTURAL DYNAMICS,['ME 5311'],[None],required
ME 5323,ENGINEERING RESEARCH METHODS,[None],[None],required
ME 5324,POWER PLANT ENGINEERING,[None],[None],required
ME 5325,COMBUSTION,[None],[None],required
ME 5326,MANUFACTURING PROCESSES AND SYSTEMS,[None],[None],required
ME 5327,DESIGN FOR MANUFACTURING,['ME 5326'],[None],required
ME 5328,METAL ADDITIVE MANUFACTURING,[None],[None],required
ME 5329,ADDITIVE MANUFACTURING,[None],[None],required
ME 5331,ANALYTIC METHODS IN ENGINEERING,[None],[None],required
ME 5332,ENGINEERING ANALYSIS,[None],[None],required
ME 5333,THERMAL PHENOMENA IN MICROSYSTEMS,[None],[None],required
ME 5335,OPTIMAL CONTROL OF DYNAMIC SYSTEMS,[None],[None],required
ME 5336,OPTIMAL ESTIMATION OF DYNAMIC SYSTEMS,[None],[None],required
ME 5338,ANALYTICAL & COMPUTATIONAL DYNAMICS,[None],[None],required
ME 5339,INTERMEDIATE MECHANICS OF MATERIALS,[None],[None],required
ME 5340,AUTOMOTIVE ENGINEERING,[None],[None],required
ME 5341,CONTROL SYSTEM COMPONENTS,['ME 5303'],[None],required
ME 5342,GAS DYNAMICS,['MAE 3303'],[None],required
ME 5344,VISCOUS FLOWS,[None],[None],required
ME 5345,NUMERICAL HEAT TRANSFER AND FLUID FLOW,[None],[None],required
ME 5347,HEAT EXCHANGER DESIGN,[None],[None],required
ME 5349,POLYMER SCIENCE AND ENGINEERING,[None],[None],required
ME 5350,COMPUTER AIDED DESIGN AND MANUFACTURING,[None],[None],required
ME 5352,FUNDAMENTALS IN ELECTRONIC PACKAGING,[None],[None],required
ME 5353,COMPUTATIONAL TECHNIQUES FOR ELECTRONIC PACKAGING,[None],[None],required
ME 5358,RACECAR ENGINEERING,[None],[None],required
ME 5359,APPLIED AUTOMOTIVE ENGINEERING,[None],[None],required
ME 5362,INTRODUCTION TO MICRO AND NANOFLUIDICS,"['MAE 2314', 'MAE 3310']",[None],required
ME 5363,INTRODUCTION TO ROTORCRAFT ANALYSIS,[None],[None],required
ME 5364,INTRODUCTION TO AERODYNAMICS OF ROTORCRAFT,[None],[None],required
ME 5365,INTRODUCTION TO HELICOPTER AND TILTROTOR SIMULATION,[None],[None],required
ME 5366,FUEL CELLS AND APPLICATIONS,[None],[None],required
ME 5374,NONLINEAR SYSTEMS ANALYSIS AND CONTROLS,[None],[None],required
ME 5378,INTRODUCTION TO UNMANNED VEHICLE SYSTEMS,[None],[None],required
ME 5379,UNMANNED VEHICLE SYSTEM DEVELOPMENT,['MAE 4378'],[None],required
ME 5380,DESIGN OF DIGITAL CONTROL SYSTEMS,[None],[None],required
ME 5382,RESEARCH TRENDS IN RENEWABLE ENERGY TECHNOLOGIES,[None],[None],required
ME 5386,WIND & OCEAN CURRENT ENERGY HARVESTING FUNDAMENTALS,[None],[None],required
ME 5390,SPECIAL TOPICS IN MECHANICAL ENGINEERING,[None],[None],required
ME 5391,ADVANCED STUDIES IN MECHANICAL ENGINEERING,[None],[None],required
ME 5397,RESEARCH IN MECHANICAL ENGINEERING,[None],[None],required
ME 5398,THESIS,[None],[None],required
ME 5698,THESIS,[None],[None],required
ME 5998,THESIS,[None],[None],required
ME 6196,MECHANICAL ENGINEERING INTERNSHIP,[None],[None],required
ME 6197,RESEARCH IN MECHANICAL ENGINEERING,[None],[None],required
ME 6297,RESEARCH IN MECHANICAL ENGINEERING,[None],[None],required
ME 6299,DISSERTATION,[None],[None],required
ME 6304,ADVANCED MECHANICS OF MATERIALS,"['AE 5339', 'ME 5339']",[None],required
