Formal Name,Course Name,Prerequisites,Corequisites,Requirement
MILS 0180,LEADERSHIP LAB,[None],[None],required
MILS 1111,MILITARY PHYSICAL CONDITIONING I-A,[None],[None],required
MILS 1112,MILITARY PHYSICAL CONDITIONING I-B,['MILS 1111'],[None],required
MILS 1141,FOUNDATIONS OF LEADERSHIP,[None],[None],required
MILS 1142,INTRODUCTION TO LEADERSHIP,['MILS 1141'],[None],required
MILS 2121,MILITARY PHYSICAL CONDITIONING II-A,"['MILS 1111', 'MILS 1112']",[None],required
MILS 2122,MILITARY PHYSICAL CONDITIONING II-B,"['MILS 1111', 'MILS 1112', 'MILS 2121']",[None],required
MILS 2251,INDIVIDUAL/TEAM DEVELOPMENT,[None],[None],required
MILS 2252,INDIVIDUAL/TEAM MILITARY TACTICS,[None],[None],required
MILS 2343,LEADERSHIP TRAINING CAMP (LTC),[None],[None],required
MILS 3131,MILITARY PHYSICAL CONDITIONING III-A,"['MILS 1111', 'MILS 1112', 'MILS 2121', 'MILS 2122']",[None],required
MILS 3132,MILITARY PHYSICAL CONDITIONING III-B,"['MILS 1111', 'MILS 1112', 'MILS 2121', 'MILS 2122', 'MILS 3131']",[None],required
MILS 3333,SMALL UNIT TACTICS AND LEADERSHIP,[None],[None],required
MILS 3341,LEADERSHIP I,[None],[None],required
MILS 3342,LEADERSHIP II,[None],[None],required
MILS 3370,MILITARY HISTORY,[None],[None],required
MILS 3443,LEADER DEVELOPMENT AND ASSESSMENT COURSE,[None],[None],required
MILS 3495,NURSING ADVANCED SUMMER TRAINING,[None],[None],required
MILS 4141,MILITARY PHYSICAL CONDITIONING IV-A,"['MILS 1111', 'MILS 1112', 'MILS 2121', 'MILS 2122', 'MILS 3131', 'MILS 3132']",[None],required
MILS 4142,MILITARY PHYSICAL CONDITIONING IV-B,"['MILS 1111', 'MILS 1112', 'MILS 2121', 'MILS 2122', 'MILS 3131', 'MILS 3132', 'MILS 4141']",[None],required
MILS 4341,ADVANCED LEADERSHIP I,[None],[None],required
MILS 4342,ADVANCED LEADERSHIP II,[None],[None],required
MILS 4391,CONFERENCE COURSE,[None],[None],required
