Formal Name,Course Name,Prerequisites,Corequisites,Requirement
MODL 1441,TOPICS IN MODERN LANGUAGE LEVEL I,[None],[None],required
MODL 1442,TOPICS IN MODERN LANGUAGE LEVEL II,[None],[None],required
MODL 1491,CONFERENCE COURSE,[None],[None],required
MODL 2301,INTRODUCTION TO WORLD LANGUAGES,[None],[None],required
MODL 2313,TOPICS IN MODERN LANGUAGE LEVEL III,[None],[None],required
MODL 2314,TOPICS IN MODERN LANGUAGE LEVEL IV,[None],[None],required
MODL 2391,CONFERENCE COURSE,[None],[None],required
MODL 3301,"TOPICS IN COMPARATIVE LANGUAGES, CULTURE, AND LITERATURES",[None],[None],required
MODL 3310,LOCALIZATION & TRANSLATION I,"['ARAB 2314', 'CHIN 2314', 'PORT 2314', 'MODL 2314']",[None],required
MODL 3311,LOCALIZATION & TRANSLATION II,['MODL 3310'],[None],required
MODL 3318,TOPICS OF IDENTITY IN FRANCE AND THE FRENCH-SPEAKING WORLD,[None],[None],required
MODL 3346,BUSINESS OF LOCALIZATION AND TRANSLATION,['ENGL 1302'],[None],required
MODL 3347,LANGUAGE SERVICES INDUSTRY,['ENGL 1302'],[None],required
MODL 3391,INDEPENDENT STUDY,[None],[None],required
MODL 3393,MODERN LANGUAGE INTERNSHIP,[None],[None],required
MODL 4305,METHODS OF MODERN LANGUAGE TEACHING,[None],[None],required
MODL 4310,GRAPHIC NOVELS AND THE MEDICAL WORLD,[None],[None],required
MODL 4316,TOPICS IN GLOBAL FRENCH CUISINES,[None],[None],required
MODL 4338,TOPICS IN GLOBAL FRENCH LITERATURES AND CULTURES,[None],[None],required
MODL 4339,LANGUAGE ACQUISITION,[None],[None],required
MODL 4340,TOPICS IN MODERN LANGUAGE PEDAGOGY,[None],[None],required
MODL 4347,RESEARCH IN LOCALIZATION AND TRANSLATION,"['FREN 3320', 'GERM 3310', 'GERM 4334', 'RUSS 3310', 'RUSS 4334', 'SPAN 3310', 'ARAB 3310', 'CHIN 3310', 'KORE 3310', 'KORE 4334']",[None],required
MODL 4348,NATURAL LANGUAGE PROCESSING AND UNDERSTANDING,"['FREN 3320', 'GERM 3310', 'GERM 4334', 'RUSS 3310', 'RUSS 4334', 'SPAN 3310', 'ARAB 3310', 'CHIN 3310', 'KORE 3310', 'KORE 4334']",[None],required
MODL 4349,MACHINE TRANSLATION AND EMERGING LANGUAGE TECHNOLOGIES,"['FREN 3320', 'GERM 3310', 'GERM 4334', 'RUSS 3310', 'RUSS 4334', 'SPAN 3310', 'ARAB 3310', 'CHIN 3310', 'KORE 3310', 'KORE 4334']",[None],required
MODL 4391,INDEPENDENT STUDY,[None],[None],required
MODL 4393,MODERN LANGUAGE INTERNSHIP,[None],[None],required
MODL 5300,HISTORY OF THE FRENCH LANGUAGE,[None],[None],required
MODL 5301,MODERN LANGUAGES FOR GRADUATE READING,[None],[None],required
MODL 5302,TOPICS ACROSS THE LANGUAGES,[None],[None],required
MODL 5304,CURRENTS IN EUROPEAN AND LATIN AMERICAN LITERATURES AND THOUGHT,[None],[None],required
MODL 5305,METHODS OF MODERN LANGUAGE TEACHING,[None],[None],required
MODL 5306,L2 ACQUISITION,[None],[None],required
MODL 5307,TOPICS IN SECOND LANGUAGE ACQUISITION,[None],[None],required
MODL 5308,TECHNOLOGY AND LANGUAGE INSTRUCTION,[None],[None],required
MODL 5309,TRANSLATION THEORY,[None],[None],required
MODL 5310,THEORIES OF LITERATURE AND CULTURE,[None],[None],required
MODL 5391,CONFERENCE,[None],[None],required
MODL 5393,MODL GRADUATE INTERNSHIP,[None],[None],required
