Formal Name,Course Name,Prerequisites,Corequisites,Requirement
MSE 3300,INTRODUCTION TO MATERIALS SCIENCE AND ENGINEERING,"['CHEM 1442', 'PHYS 1444']",[None],required
MSE 4191,ADVANCED PROBLEMS IN MATERIALS SCIENCE & ENGINEERING,[None],[None],required
MSE 4291,ADVANCED PROBLEMS IN MATERIALS SCIENCE & ENGINEERING,[None],[None],required
MSE 4304,ANALYSIS OF MATERIALS,[None],[None],required
MSE 4310,POLYMER MATERIALS SCIENCE,[None],[None],required
MSE 4312,MECHANICAL BEHAVIOR OF MATERIALS,[None],[None],required
MSE 4315,INTRODUCTION TO COMPOSITES,[None],[None],required
MSE 4316,TRIBOLOGY AND LUBRICATION,[None],[None],required
MSE 4320,NANOSCALE MATERIALS,[None],[None],required
MSE 4321,PHASE TRANSFORMATIONS OF MATERIALS,[None],[None],required
MSE 4330,CORROSION SCIENCE AND ENGINEERING,[None],[None],required
MSE 4333,INTRODUCTION TO MAGNETIC MATERIALS,[None],[None],required
MSE 4334,OPTICAL PROCESSES IN SOLID MATERIALS,[None],[None],required
MSE 4335,ELECTRICAL PROPERTIES OF MATERIALS,[None],[None],required
MSE 4337,FATIGUE OF ENGINEERING MATERIALS,[None],[None],required
MSE 4339,FRACTURE MECHANICS,[None],[None],required
MSE 4343,NANOBIOTECHNOLOGY,[None],[None],required
MSE 4345,CERAMIC MATERIALS,[None],[None],required
MSE 4350,INTRODUCTION TO COMPUTATIONAL MATERIALS,[None],[None],required
MSE 4351,CURRENT TOPICS IN NANOTECHNOLOGY,[None],[None],required
MSE 4353,FUNDAMENTALS OF SUSTAINABLE ENERGY,[None],[None],required
MSE 4354,ELECTRONIC MATERIALS AND DEVICES,[None],[None],required
MSE 4355,MATERIALS FOR ENERGY,[None],[None],required
MSE 4357,SYNTHESIS AND PROPERTIES OF MODERN ENGINEERING MATERIALS,[None],[None],required
MSE 4358,ORTHOPEDIC IMPLANTS - MATERIAL SELECTION AND CHARACTERIZATION,[None],[None],required
MSE 4359,FAILURE ANALYSIS AND RELIABILITY ENGINEERING,[None],[None],required
MSE 4390,SPECIAL TOPICS IN MATERIALS SCIENCE & ENGINEERING,[None],[None],required
MSE 4391,ADVANCED PROBLEMS IN MATERIALS SCIENCE & ENGINEERING,[None],[None],required
MSE 5141,TRANSMISSION ELECTRON MICROSCOPY LAB,[None],[None],required
MSE 5190,SPECIAL TOPICS IN MATERIALS SCIENCE AND ENGINEERING,[None],[None],required
MSE 5192,MASTER'S COMPREHENSIVE EXAMINATION,[None],[None],required
MSE 5193,SEMINAR IN MATERIALS SCIENCE AND ENGINEERING,[None],[None],required
MSE 5290,SPECIAL TOPICS IN MATERIALS SCIENCE AND ENGINEERING,[None],[None],required
MSE 5300,INTRODUCTION TO MATERIALS SCIENCE AND ENGINEERING,[None],[None],required
MSE 5304,ANALYSIS OF MATERIALS,[None],[None],required
MSE 5305,SOLID STATE PHYSICS AND THERMODYNAMICS OF MATERIALS,[None],[None],required
MSE 5312,MECHANICAL BEHAVIOR OF MATERIALS,[None],[None],required
MSE 5314,FRACTURE MECHANICS,[None],[None],required
MSE 5315,FATIGUE OF ENGINEERING MATERIALS,[None],[None],required
MSE 5316,TRIBOLOGY AND LUBRICATION,[None],[None],required
MSE 5320,NANOSCALE MATERIALS,[None],[None],required
MSE 5321,PHASE TRANSFORMATIONS OF MATERIALS,[None],[None],required
MSE 5330,CORROSION SCIENCE AND ENGINEERING,[None],[None],required
MSE 5333,MAGNETIC PROPERTIES OF MATERIALS,[None],[None],required
MSE 5334,OPTICAL PROCESSES IN SOLID MATERIALS,[None],[None],required
MSE 5335,ELECTRICAL PROPERTIES OF MATERIALS,[None],[None],required
MSE 5339,FAILURE ANALYSIS AND RELIABILITY ENGINEERING,[None],[None],required
MSE 5341,TRANSMISSION ELECTRON MICROSCOPY IN MATERIALS SCIENCE,[None],[None],required
MSE 5343,NANOBIOTECHNOLOGY,[None],[None],required
MSE 5345,CERAMIC MATERIALS,[None],[None],required
MSE 5347,POLYMER MATERIALS SCIENCE,[None],[None],required
MSE 5348,FUNDAMENTALS OF COMPOSITES,[None],[None],required
MSE 5350,INTRODUCTION TO COMPUTATIONAL MATERIALS SCIENCE,[None],[None],required
MSE 5351,CURRENT TOPICS IN NANOTECHNOLOGY,[None],[None],required
MSE 5352,SOLAR ENERGY MATERIALS AND DEVICES,[None],[None],required
MSE 5353,FUNDAMENTALS OF SUSTAINABLE ENERGY,[None],[None],required
MSE 5354,ELECTRONIC MATERIALS AND DEVICES,[None],[None],required
MSE 5355,MATERIALS FOR ENERGY,[None],[None],required
MSE 5356,INSTRUMENTATION FOR MATERIALS CHARACTERIZATION,[None],[None],required
MSE 5357,SYNTHESIS AND PROPERTIES OF MODERN ENGINEERING MATERIALS,[None],[None],required
MSE 5358,ORTHOPEDIC IMPLANTS - MATERIAL SELECTION AND CHARACTERIZATION,[None],[None],required
MSE 5390,SPECIAL TOPICS IN MATERIALS SCIENCE AND ENGINEERING,[None],[None],required
MSE 5391,ADVANCED STUDIES IN MATERIALS SCIENCE AND ENGINEERING,[None],[None],required
MSE 5392,RESEARCH PROJECT IN MATERIALS SCIENCE AND ENGINEERING I,[None],[None],required
MSE 5394,MASTER'S RESEARCH PROJECT IN MATERIALS SCIENCE AND ENGINEERING,[None],[None],required
MSE 5398,THESIS,[None],[None],required
MSE 5405,PHYS THERMO MAT,[None],[None],required
MSE 5698,THESIS,[None],[None],required
MSE 5998,THESIS,[None],[None],required
MSE 6196,MSE INTERNSHIP,[None],[None],required
MSE 6197,ADVANCED STUDIES IN MATERIALS SCIENCE AND ENGINEERING,[None],[None],required
MSE 6198,RESEARCH IN MATERIALS SCIENCE AND ENGINEERING,[None],[None],required
MSE 6298,RESEARCH IN MATERIALS SCIENCE AND ENGINEERING,[None],[None],required
MSE 6396,MSE INTERNSHIP,[None],[None],required
MSE 6397,ADVANCED STUDIES IN MATERIALS SCIENCE AND ENGINEERING,[None],[None],required
MSE 6398,RESEARCH IN MATERIALS SCIENCE AND ENGINEERING,[None],[None],required
MSE 6399,DISSERTATION,[None],[None],required
MSE 6696,MSE INTERNSHIP,[None],[None],required
MSE 6698,RESEARCH IN MATERIALS SCIENCE AND ENGINEERING,[None],[None],required
MSE 6699,DISSERTATION,[None],[None],required
MSE 6996,MSE INTERNSHIP,[None],[None],required
MSE 6998,RESEARCH IN MATERIALS SCIENCE AND ENGINEERING,[None],[None],required
MSE 6999,DISSERTATION,[None],[None],required
MSE 7399,DOCTORAL DEGREE COMPLETION,[None],[None],required
