Formal Name,Course Name,Prerequisites,Corequisites,Requirement
MUSI 0010,STUDIO CLASS,[None],[None],required
MUSI 0101,MARCHING BAND,[None],[None],required
MUSI 0102,WIND SYMPHONY,[None],[None],required
MUSI 0103,SYMPHONIC WINDS,[None],[None],required
MUSI 0104,A CAPPELLA CHOIR,[None],[None],required
MUSI 0105,WOMEN'S CHORUS,[None],[None],required
MUSI 0106,CHAMBER SINGERS,[None],[None],required
MUSI 0108,UNIVERSITY SINGERS,[None],[None],required
MUSI 0109,KEYBOARD ENSEMBLE,[None],[None],required
MUSI 0110,WOODWIND ENSEMBLE,[None],[None],required
MUSI 0111,BRASS CHOIR,[None],[None],required
MUSI 0112,JAZZ ORCHESTRA,[None],[None],required
MUSI 0113,ELECTRIC GUITAR ENSEMBLE,[None],[None],required
MUSI 0114,PERCUSSION ENSEMBLE,[None],[None],required
MUSI 0115,MUSICAL THEATRE / OPERA LAB,[None],[None],required
MUSI 0116,JAZZ ENSEMBLE,[None],[None],required
MUSI 0117,TROMBONE CHOIR,[None],[None],required
MUSI 0118,MARCHING PERCUSSION,[None],[None],required
MUSI 0119,TRUMPET ENSEMBLE,[None],[None],required
MUSI 0120,FRENCH HORN ENSEMBLE,[None],[None],required
MUSI 0121,COLOR GUARD,[None],[None],required
MUSI 0122,JAZZ COMBO,[None],[None],required
MUSI 0123,VOCAL JAZZ,[None],[None],required
MUSI 0124,FLUTE CHOIR,[None],[None],required
MUSI 0125,SAX CHOIR,[None],[None],required
MUSI 0126,CHAMBER MUSIC,[None],[None],required
MUSI 0127,TUBA ENSEMBLE,[None],[None],required
MUSI 0128,ORCHESTRA,[None],[None],required
MUSI 0129,EARLY MUSIC PERFORMANCE PRACTICE,[None],[None],required
MUSI 0130,SYMPHONIC BAND,[None],[None],required
MUSI 0131,COMMERCIAL MUSIC ENSEMBLE,[None],[None],required
MUSI 0132,MAVBRASS,[None],[None],required
MUSI 0171,ELECTIVE PERFORMANCE,[None],[None],required
MUSI 0174,SECONDARY KEYBOARD,['MUSI 2181'],[None],required
MUSI 0175,SECONDARY VOICE,[None],[None],required
MUSI 0271,ELECTIVE PERFORMANCE,[None],[None],required
MUSI 1101,JAZZ LISTENING,[None],[None],required
MUSI 1103,HIGH BRASS CLASS,[None],[None],required
MUSI 1104,WOODWIND CLASS I,[None],[None],required
MUSI 1105,VOICE CLASS,[None],[None],required
MUSI 1106,LOW BRASS CLASS,[None],[None],required
MUSI 1107,WOODWIND CLASS II,[None],[None],required
MUSI 1140,PRIVATE LESSONS IN VOICE-MUSICAL THEATRE,[None],[None],required
MUSI 1141,PRIVATE LESSONS IN VOICE-MUSICAL THEATRE,['MUSI 1140'],[None],required
MUSI 1142,PRIVATE LESSONS IN PIANO,[None],[None],required
MUSI 1143,PRIVATE LESSONS IN PIANO,['MUSI 1142'],[None],required
MUSI 1144,PRIVATE LESSONS IN DOUBLE BASS,[None],[None],required
MUSI 1145,PRIVATE LESSONS IN DOUBLE BASS,['MUSI 1144'],[None],required
MUSI 1146,PRIVATE LESSONS IN JAZZ BASS,[None],[None],required
MUSI 1147,PRIVATE LESSONS IN JAZZ BASS,['MUSI 1146'],[None],required
MUSI 1154,PRIVATE LESSONS IN JAZZ PIANO,[None],[None],required
MUSI 1155,PRIVATE LESSONS IN JAZZ PIANO,['MUSI 1154'],[None],required
MUSI 1180,FUNCTIONAL PIANO I,[None],[None],required
MUSI 1181,FUNCTIONAL PIANO II,['MUSI 1180'],[None],required
MUSI 1182,CLASS PIANO FOR NON-MUSIC MAJORS I,[None],[None],required
MUSI 1183,CLASS PIANO FOR NON-MUSIC MAJORS II,['MUSI 1182'],[None],required
MUSI 1185,SIGHTSINGING AND EAR TRAINING I,[None],[None],required
MUSI 1186,SIGHTSINGING AND EAR TRAINING II,"['MUSI 1185', 'MUSI 1325']",[None],required
MUSI 1236,PRIVATE LESSONS IN JAZZ GUITAR,[None],[None],required
MUSI 1237,PRIVATE LESSONS IN JAZZ GUITAR,['MUSI 1236'],[None],required
MUSI 1238,PRIVATE LESSONS IN JAZZ DRUMSET,[None],[None],required
MUSI 1239,PRIVATE LESSONS IN JAZZ DRUMSET,['MUSI 1238'],[None],required
MUSI 1240,PRIVATE LESSONS IN VOICE,[None],[None],required
MUSI 1241,PRIVATE LESSONS IN VOICE,[None],[None],required
MUSI 1242,PRIVATE LESSONS IN PIANO,[None],[None],required
MUSI 1243,PRIVATE LESSONS IN PIANO,['MUSI 1242'],[None],required
MUSI 1244,PRIVATE LESSONS IN STRINGS,[None],[None],required
MUSI 1245,PRIVATE LESSONS IN STRINGS,['MUSI 1244'],[None],required
MUSI 1246,PRIVATE LESSONS IN WOODWINDS,[None],[None],required
MUSI 1247,PRIVATE LESSONS IN WOODWINDS,[None],[None],required
MUSI 1248,PRIVATE LESSONS IN BRASS,[None],[None],required
MUSI 1249,PRIVATE LESSONS IN BRASS,['MUSI 1248'],[None],required
MUSI 1250,PRIVATE LESSONS IN PERCUSSION,[None],[None],required
MUSI 1251,PRIVATE LESSONS IN PERCUSSION,['MUSI 1250'],[None],required
MUSI 1252,PRIVATE LESSONS IN JAZZ BASS,[None],[None],required
MUSI 1253,PRIVATE LESSONS IN JAZZ BASS,['MUSI 1252'],[None],required
MUSI 1254,PRIVATE LESSONS FOR B.A. STUDENTS,['MUSI 1301'],[None],required
MUSI 1255,PRIVATE LESSONS FOR B.A. STUDENTS,['MUSI 1254'],[None],required
MUSI 1257,PRIVATE LESSONS IN ORGAN,[None],[None],required
MUSI 1258,PRIVATE LESSONS IN ORGAN,['MUSI 1257'],[None],required
MUSI 1267,PRIVATE LESSONS IN HARPSICHORD,[None],[None],required
MUSI 1268,PRIVATE LESSONS IN HARPSICHORD,['MUSI 1267'],[None],required
MUSI 1300,MUSIC APPRECIATION,[None],[None],required
MUSI 1301,ELEMENTS OF MUSIC,[None],[None],required
MUSI 1302,JAZZ APPRECIATION,[None],[None],required
MUSI 1303,HISTORY AND APPRECIATION OF HIP HOP AND R&B MUSIC,[None],[None],required
MUSI 1304,HISTORY OF ROCK MUSIC,[None],[None],required
MUSI 1305,INTRODUCTION TO MUSICAL ACOUSTICS,[None],[None],required
MUSI 1324,EXPLORATIONS IN MUSIC THEORY,['MUSI 1301'],[None],required
