Formal Name,Course Name,Prerequisites,Corequisites,Requirement
NURS 2200,CONCEPTS IN PROFESSIONAL NURSING,[None],[None],required
NURS 2232,LEARNING PROFESSIONAL NURSING AND LIFE SKILLS,[None],[None],required
NURS 3100,COOPERATIVE NURSING WORK EXPERIENCE,[None],[None],required
NURS 3137,INDEPENDENT STUDY,[None],[None],required
NURS 3147,SPECIALIZED TOPICS IN NURSING,[None],[None],required
NURS 3200,COOPERATIVE NURSING WORK EXPERIENCE,[None],[None],required
NURS 3237,INDEPENDENT STUDY,[None],[None],required
NURS 3247,SPECIALIZED TOPICS IN NURSING,[None],[None],required
NURS 3261,NURSING OF OLDER ADULTS,"['NURS 3632', 'NURS 3320']",[None],required
NURS 3300,COOPERATIVE NURSING WORK EXPERIENCE,[None],[None],required
NURS 3309,MEDICAL TERMINOLOGY FOR HEALTHCARE PROVIDERS,[None],[None],required
NURS 3320,HOLISTIC HEALTH ASSESSMENT ACROSS THE LIFESPAN,[None],['NURS 3632'],required
NURS 3321,NURSING RESEARCH,['NURS 3632'],[None],required
NURS 3322,HUMAN FACTORS IN HEALTHCARE,[None],[None],required
NURS 3325,RN-BSN HOLISTIC CARE OF THE OLDER ADULT,['NURS 3345'],[None],required
NURS 3333,PROMOTING HEALTHY LIFESTYLES,[None],[None],required
NURS 3335,RN-BSN PROMOTING HEALTHY LIFESTYLES,[None],[None],required
NURS 3435,Prerequisite: NURS 3345 . NURS 3337. INDEPENDENT STUDY,[None],[None],required
NURS 3344,ENHANCING NURSING PRACTICE AND SAFETY WITH HISPANIC PATIENTS THROUGH BETTER COMMUNICATION,[None],[None],required
NURS 3345,ROLE TRANSITION TO PROFESSIONAL NURSING,[None],[None],required
NURS 3347,SPECIALIZED TOPICS IN NURSING,[None],[None],required
NURS 3352,THE LEGACY OF THE FAMILY,[None],[None],required
NURS 3364,INTRODUCTION TO PROFESSIONAL AND CLINICAL CONCEPTS IN NURSING,[None],[None],required
NURS 3365,PHARMACOLOGY IN NURSING PRACTICE,[None],[None],required
NURS 3366,PATHOPHYSIOLOGIC PROCESSES: IMPLICATIONS FOR NURSING,"['BIOL 2457', 'BIOL 2458', 'CHEM 1451']",[None],required
NURS 3375,"RN-BSN HEALTH POLICY, LEGAL ASPECTS AND INFORMATICS IN NURSING",['NURS 3345'],[None],required
NURS 3381,"PSYCHIATRIC MENTAL HEALTH NURSING OF INDIVIDUALS, FAMILIES, AND GROUPS","['NURS 3632', 'NURS 3320', 'NURS 3365']",[None],required
NURS 3385,NURSING CARE OF THE PERIOPERATIVE PATIENT,[None],[None],required
NURS 3437,INDEPENDENT STUDY,[None],[None],required
NURS 3447,SPECIALIZED TOPICS IN NURSING,[None],[None],required
NURS 3537,INDEPENDENT STUDY,[None],[None],required
NURS 3547,SPECIALIZED TOPICS IN NURSING,[None],[None],required
NURS 3632,CLINICAL NURSING FOUNDATIONS,[None],[None],required
NURS 3637,INDEPENDENT STUDY,[None],[None],required
NURS 3647,SPECIALIZED TOPICS IN NURSING,[None],[None],required
NURS 3661,NURSING OF ADULTS,"['NURS 3632', 'NURS 3320', 'NURS 3365']",[None],required
NURS 4100,COOPERATIVE NURSING WORK EXPERIENCE,[None],[None],required
NURS 4199,ROLE DEVELOPMENT IN PROFESSIONAL NURSING SEMINAR,"['NURS 3661', 'NURS 3381']",[None],required
NURS 4200,COOPERATIVE NURSING WORK EXPERIENCE,[None],[None],required
NURS 4300,COOPERATIVE NURSING WORK EXPERIENCE,['EL 3300'],[None],required
NURS 4323,"HEALTH POLICY, LEGAL ASPECTS AND INFORMATICS IN NURSING","['NURS 4331', 'NURS 4341', 'NURS 4581', 'NURS 4581']",[None],required
NURS 4325,RN-BSN NURSING RESEARCH,"['ENGL 2338', 'MATH 1308', 'NURS 3345']",[None],required
NURS 3645,NURS 4331. NURSING OF CHILDREN AND ADOLESCENTS,"['NURS 3661', 'NURS 3381', 'NURS 3321']",[None],required
NURS 4341,NURSING OF THE CHILDBEARING FAMILY,"['NURS 3381', 'NURS 3661', 'NURS 3321']",[None],required
NURS 4350,CAPSTONE: TRANSITION TO PROFESSIONAL NURSING,[None],"['NURS 4351', 'NURS 4462', 'NURS 4323']",required
NURS 4351,BSN NURSING LEADERSHIP AND MANAGEMENT,"['NURS 4331', 'NURS 4341', 'NURS 4581']",[None],required
NURS 4370,RURAL HEALTH BARRIERS AND SOLUTIONS,[None],[None],required
NURS 4371,RURAL HEALTH ISSUES AND POLICY,[None],[None],required
NURS 4393,NURSING CERTIFICATION,[None],[None],required
NURS 4455,RN-BSN NURSING LEADERSHIP & MANAGEMENT,['NURS 3345'],[None],required
NURS 4462,POPULATION AND COMMUNITY HEALTH NURSING,"['NURS 4331', 'NURS 4341', 'NURS 4581']",[None],required
NURS 4465,RN-BSN POPULATION AND COMMUNITY HEALTH NURSING,['NURS 3345'],[None],required
NURS 4581,NURSING OF ADULTS WITH COMPLEX NEEDS,"['NURS 3661', 'NURS 3381', 'NURS 3321', 'NURS 3261']",[None],required
NURS 4685,RN-BSN CAPSTONE,"['NURS 4325', 'NURS 4455']",['NURS 4465'],required
NURS 5110,NEONATAL ASSESSMENT LAB,['NURS 5220'],[None],required
NURS 5112,THERAPY CONCEPTS FOR PSYCHIATRIC MENTAL HEALTH NURSE PRACTITIONERS,"['NURS 5315', 'NURS 5410', 'NURS 5140']",[None],required
NURS 5120,ADULT-GERONTOLOGY ASSESSMENT LAB,['NURS 5220'],[None],required
NURS 5130,PEDIATRIC ASSESSMENT LAB,['NURS 5220'],[None],required
NURS 5140,PSYCHIATRIC ASSESSMENT LAB FOR THE PSYCHIATRIC MENTAL HEALTH NURSE PRACTITIONER,"['NURS 5220', 'NURS 5120', 'NURS 5130', 'NURS 5410', 'NURS 5112']",[None],required
NURS 5150,ADVANCED CARE OF A CLIENT POPULATION,['NURS 5220'],[None],required
NURS 5170,INDEPENDENT STUDY IN NURSING,[None],[None],required
NURS 5190,TOPICS IN NURSING,[None],[None],required
NURS 5204,NEONATAL NURSING I,"['NURS 5315', 'NURS 5316', 'NURS 5110']",[None],required
NURS 5213,PSYCHOPHARMACOLOGY FOR THE PSYCHIATRIC MENTAL HEALTH NURSE PRACTITIONER,"['NURS 5334', 'NURS 5410', 'NURS 5140', 'NURS 5112', 'NURS 5222', 'NURS 5223']",[None],required
NURS 5220,ADVANCED HEALTH ASSESSMENT AND DIAGNOSTIC REASONING,[None],[None],required
NURS 5222,"CHILD, ADOLESCENT, AND SPECIAL POPULATIONS PSYCHIATRIC MENTAL HEALTH FOR THE PMHNP","['NURS 5410', 'NURS 5213', 'NURS 5112', 'NURS 5223']",[None],required
NURS 5223,ADULT AND GERIATRIC PSYCHIATRIC MENTAL HEALTH FOR THE PMHNP,"['NURS 5410', 'NURS 5140', 'NURS 5213', 'NURS 5222']",[None],required
NURS 5270,INDEPENDENT STUDY IN NURSING,[None],[None],required
NURS 5290,TOPICS IN NURSING,[None],[None],required
NURS 5300,"ADVANCED ASSESSMENT, PATHOPHYSIOLOGY, AND PHARMACOLOGY FOR NURSE EDUCATORS",[None],[None],required
NURS 5302,CURRICULUM DEVELOPMENT IN NURSING EDUCATION,[None],[None],required
NURS 5308,NURSING INFORMATICS,['NURS 5367'],[None],required
NURS 5310,TEACHING AND LEARNING THEORIES AND STRATEGIES IN NURSING EDUCATION,[None],[None],required
NURS 5311,NURSING MANAGEMENT IN THE HEALTH CARE ENVIRONMENT,['NURS 5367'],[None],required
NURS 5312,ASSESSMENT AND EVALUATION STRATEGIES IN NURSING EDUCATION,[None],[None],required
NURS 5315,ADVANCED PATHOPHYSIOLOGY,[None],[None],required
NURS 5318,ADVANCED PATHOPHYSIOLOGY FOR NURSE EDUCATORS,"['NURS 5367', 'NURS 5310', 'NURS 5329', 'NURS 5302', 'NURS 5312']",[None],required
NURS 5319,ADVANCED PHARMACOLOGY FOR NURSE EDUCATORS,['NURS 5318'],[None],required
NURS 5324,PSYCHIATRIC MENTAL CLINICAL PRACTICE I,"['NURS 5222', 'NURS 5223']",[None],required
NURS 5325,PSYCHIATRIC MENTAL HEALTH CLINICAL PRACTICE II,['NURS 5324'],[None],required
NURS 5327,EXPLORATION OF SCIENCE AND THEORIES FOR NURSING,[None],[None],required
NURS 5329,ROLE OF THE NURSE EDUCATOR,[None],[None],required
NURS 5334,ADVANCED PHARMACOLOGY FOR NURSE PRACTITIONERS,['NURS 5315'],[None],required
NURS 5337,FAMILY CLINICAL PRACTICE 1,"['NURS 5432', 'NURS 5433', 'NURS 5434']",[None],required
NURS 5338,FAMILY CLINICAL PRACTICE 2,"['NURS 5432', 'NURS 5433', 'NURS 5434', 'NURS 5337']",[None],required
NURS 5339,ROLES AND FUNCTIONS OF THE NURSE ADMINISTRATOR,['NURS 5311'],[None],required
NURS 5340,MANAGEMENT SEMINAR AND PRACTICE,"['NURS 5308', 'NURS 5311', 'NURS 5339', 'NURS 5341', 'NURS 5342', 'NURS 5382']",[None],required
NURS 5341,FINANCIAL MANAGEMENT IN NURSING,['NURS 5311'],[None],required
NURS 5342,MANAGEMENT OF NURSING OPERATIONS,['NURS 5311'],[None],required
NURS 5343,NURSING LEADERSHIP AND COMPLEX HEALTH CARE SYSTEMS,['NURS 5367'],[None],required
NURS 5348,NURSING CARE AT THE END OF LIFE,[None],[None],required
NURS 5350,ROLE OF THE NURSE IN ADVANCED PRACTICE,[None],[None],required
NURS 5352,ADULT GERONTOLOGY PRIMARY CARE CLINICAL PRACTICE 1,['NURS 5462'],[None],required
NURS 5353,ADULT GERONTOLOGY PRIMARY CARE CLINICAL PRACTICE 2,"['NURS 5462', 'NURS 5352']",[None],required
NURS 5354,ADULT GERONTOLOGY ACUTE CARE CLINICAL PRACTICE 1,['NURS 5463'],[None],required
NURS 5355,ADULT GERONTOLOGY ACUTE CARE CLINICAL PRACTICE 2,['NURS 5354'],[None],required
NURS 5356,"GLOBAL HEALTH POLICY, HEALTH LITERACY, AND MODELS OF CARE FOR OLDER ADULTS",[None],[None],required
NURS 5357,ADVANCED CLINICAL MANAGEMENT OF OLDER ADULTS WITH COMPLEX MULTIMORBIDITY,[None],[None],required
NURS 5358,ADVANCED CLIN MGMT OF OLDER ADULTS W/COMPLEX MULTIMORBIDITY DURING ACUTE ILLNESS CRISIS,[None],[None],required
NURS 5360,SIMULATION APPLICATION IN NURSING,"['NURS 5364', 'NURS 5220']",[None],required
NURS 5362,TEACHING PRACTICUM,[None],[None],required
NURS 5363,PERSONAL AND PROFESSIONAL LEADERSHIP DEVELOPMENT,[None],[None],required
NURS 5364,"RESEARCH, THEORY, EVIDENCE-BASED PRACTICE (EBP) AND QUALITY IMPROVEMENT (QI)",[None],[None],required
NURS 5365,SOCIAL DETERMINANTS OF HEALTH AND POPULATION MANAGEMENT,[None],[None],required
NURS 5366,PRINCIPLES OF RESEARCH IN NURSING,[None],[None],required
NURS 5367,EVIDENCE BASED PRACTICE,"['NURS 5366', 'NURS 5327']",[None],required
NURS 5368,ADDRESSING CHALLENGES AND ADVANCING SOLUTIONS IN RURAL HEALTH,[None],[None],required
NURS 5369,RURAL HEALTH DISPARITIES AND POLICY IMPLICATIONS,[None],[None],required
NURS 5370,INDEPENDENT STUDY IN NURSING,[None],[None],required
NURS 5371,PEDIATRIC PRIMARY CARE CLINICAL PRACTICE 1,['NURS 5465'],[None],required
NURS 5372,PEDIATRIC PRIMARY CARE CLINICAL PRACTICE 2,['NURS 5371'],[None],required
NURS 5373,PEDIATRIC ACUTE CARE CLINICAL PRACTICE 1,['NURS 5467'],[None],required
NURS 5374,PEDIATRIC ACUTE CARE CLINICAL PRACTICE 2,"['NURS 5466', 'NURS 5373']",[None],required
NURS 5380,INDEPENDENT STUDY IN RESEARCH,[None],[None],required
NURS 5382,NURSING AND HEALTH CARE POLICY: ISSUES AND ANALYSIS,['NURS 5367'],[None],required
