Formal Name,Course Name,Prerequisites,Corequisites,Requirement
OPMA 3306,OPERATIONS MANAGEMENT,['STAT 3321'],[None],required
OPMA 3308,OPERATIONS PLANNING AND CONTROL,['OPMA 3306'],[None],required
OPMA 3310,PROJECT MANAGEMENT,[None],['OPMA 3306'],required
OPMA 4191,STUDIES IN OPERATIONS MANAGEMENT,[None],[None],required
OPMA 4291,STUDIES IN OPERATIONS MANAGEMENT,[None],[None],required
OPMA 4302,SUPPLY CHAIN LOGISTICS,['OPMA 3306'],[None],required
OPMA 4303,INTRODUCTION TO MANAGEMENT SCIENCES,['OPMA 3306'],[None],required
OPMA 4307,QUALITY PLANNING AND ANALYSIS,"['OPMA 3306', 'BUSA 3321']",[None],required
OPMA 4310,SUPPLY CHAIN ANALYTICS-THEORY AND PRACTICE,['OPMA 3306'],[None],required
OPMA 4312,PURCHASING MANAGEMENT,"['OPMA 3306', 'OPMA 4302']",[None],required
OPMA 4314,SERVICE OPERATIONS,['OPMA 3306'],[None],required
OPMA 4331,SEMINAR IN OPERATIONS MANAGEMENT,[None],[None],required
OPMA 4391,STUDIES IN OPERATIONS MANAGEMENT,[None],[None],required
OPMA 4393,OPERATIONS MANAGEMENT INTERNSHIP,[None],[None],required
OPMA 5199,GRADUATE OPERATIONS MANAGEMENT INTERNSHIP,[None],[None],required
OPMA 5299,GRADUATE OPERATIONS MANAGEMENT INTERNSHIP,[None],[None],required
OPMA 5321,INTRODUCTION TO MANAGEMENT SCIENCES,[None],[None],required
OPMA 5361,OPERATIONS MANAGEMENT,['STAT 5301'],[None],required
OPMA 5362,SERVICES OPERATIONS,['OPMA 5361'],[None],required
OPMA 5363,OPERATIONS PLANNING AND CONTROL,[None],[None],required
OPMA 5364,PROJECT MANAGEMENT,[None],[None],required
OPMA 5365,PURCHASING MANAGEMENT,"['OPMA 5361', 'OPMA 5369']",[None],required
OPMA 5367,QUALITY MANAGEMENT,[None],[None],required
OPMA 5368,GLOBAL SUPPLY CHAIN MANAGEMENT,"['OPMA 5361', 'OPMA 5369']",[None],required
OPMA 5369,SUPPLY CHAIN LOGISTICS,['OPMA 5361'],[None],required
OPMA 5379,ORGANIZATIONAL RESEARCH PROJECT,[None],[None],required
OPMA 5382,INDEPENDENT STUDIES IN OPERATIONS MANAGEMENT,[None],[None],required
OPMA 5389,INDEPENDENT STUDIES IN MILITARY ACQUISITION,[None],[None],required
OPMA 5392,SELECTED TOPICS IN OPERATIONS MANAGEMENT,[None],[None],required
OPMA 5399,GRADUATE OPERATIONS MANAGEMENT INTERNSHIP,[None],[None],required
OPMA 5689,INDEPENDENT STUDIES IN MILITARY ACQUISITION,[None],[None],required
OPMA 5989,INDEPENDENT STUDIES IN MILITARY ACQUISITION,[None],[None],required
OPMA 6370,SEMINAR IN OPERATIONS MANAGEMENT,[None],[None],required
OPMA 6371,INTEGRATED OPERATIONS STRATEGY AND RESEARCH,[None],[None],required
OPMA 6380,RESEARCH IN OPERATIONS MANAGEMENT,[None],[None],required
OPMA 6382,INDEPENDENT STUDIES IN OPERATIONS MANAGEMENT,[None],[None],required
OPMA 6392,SPECIAL TOPICS IN OPERATIONS MANAGEMENT,[None],[None],required
