Formal Name,Course Name,Prerequisites,Corequisites,Requirement
PAPP 4307,URBAN GEOGRAPHY,[None],[None],required
PAPP 5160,URBAN MANAGEMENT/PLANNING INTERNSHIP,[None],[None],required
PAPP 5300,FOUNDATION OF URBAN THEORY,[None],[None],required
PAPP 5301,FOUNDATIONS OF URBAN POLITICS AND ECONOMICS,[None],[None],required
PAPP 5302,FOUNDATIONS OF URBAN RESEARCH AND ANALYSIS,[None],[None],required
PAPP 5303,"THE METROPLEX: SURVEY OF URBAN AFFAIRS, PLANNING, ADMINISTRATION",[None],[None],required
PAPP 5304,URBAN POLITICS,[None],[None],required
PAPP 5305,THEORIES OF URBAN SOCIETY,[None],[None],required
PAPP 5306,THE URBAN ECONOMY,[None],[None],required
PAPP 5307,URBAN GEOGRAPHY,[None],[None],required
PAPP 5308,URBAN HISTORY,[None],[None],required
PAPP 5309,LOCAL POLITICS IN THE INTERGOVERNMENTAL SETTING,[None],[None],required
PAPP 5310,URBAN POLICY AND THE LAW,[None],[None],required
PAPP 5311,PUBLIC POLICY FORMATION AND ANALYSIS,[None],[None],required
PAPP 5312,ECONOMIC POLICY,[None],[None],required
PAPP 5313,COMMUNITY DEVELOPMENT,[None],[None],required
PAPP 5314,HEALTH POLICY,[None],[None],required
PAPP 5315,URBAN EDUCATION POLICY,[None],[None],required
PAPP 5316,HUMAN SERVICES,[None],[None],required
PAPP 5317,ENVIRONMENTAL POLICY,[None],[None],required
PAPP 5318,SOCIAL WELFARE POLICY,[None],[None],required
PAPP 5319,URBAN PROBLEMS,[None],[None],required
PAPP 5320,PUBLIC AND NON-PROFIT ORGANIZATION THEORY,[None],[None],required
PAPP 5321,URBAN MANAGEMENT,[None],[None],required
PAPP 5322,POLITICS AND POLICY IN PUBLIC AND NON-PROFIT MANAGEMENT,[None],[None],required
PAPP 5323,MANAGING CHANGE IN PUBLIC AND NON-PROFIT SERVICES,[None],[None],required
PAPP 5324,URBAN PUBLIC FINANCE,[None],[None],required
PAPP 5325,ADMINISTRATIVE LAW,[None],[None],required
PAPP 5326,PUBLIC BUDGETING,[None],[None],required
PAPP 5327,COMPARATIVE ADMINISTRATION AND POLICY,[None],[None],required
PAPP 5328,SMALL CITY MANAGEMENT,[None],[None],required
PAPP 5329,FINANCIAL MANAGEMENT IN THE PUBLIC AND NON-PROFIT SERVICES,[None],[None],required
PAPP 5330,COMMUNITY AND NEIGHBORHOOD ORGANIZATION,[None],[None],required
PAPP 5331,LAND USE PLANNING AND THE LAW,[None],[None],required
PAPP 5332,PUBLIC CAPITAL BUDGETING,[None],[None],required
PAPP 5333,GOVERNMENTAL AND NONPROFIT ACCOUNTING,[None],[None],required
PAPP 5334,MANAGEMENT OF ECONOMIC DEVELOPMENT,[None],[None],required
PAPP 5341,PROFESSIONAL REPORT WRITING,[None],[None],required
PAPP 5342,INTERMEDIATE DATA ANALYSIS,['PAPP 5302'],[None],required
PAPP 5343,APPLIED URBAN ANALYSIS,[None],[None],required
PAPP 5344,QUALITATIVE METHODS,[None],[None],required
PAPP 5345,EVALUATION RESEARCH,['PAPP 5302'],[None],required
PAPP 5346,BIG DATA AND PUBLIC POLICY ANALYSIS,[None],[None],required
PAPP 5347,DEMOGRAPHIC METHODS,[None],[None],required
PAPP 5348,COST BENEFIT ANALYSIS,[None],[None],required
PAPP 5349,RESEARCH DESIGN IN PUBLIC POLICY,[None],[None],required
PAPP 5350,INTRODUCTION TO PUBLIC ADMINISTRATION,[None],[None],required
PAPP 5351,HUMAN RESOURCE MANAGEMENT IN GOVERNMENT AND NON-PROFITS,[None],[None],required
PAPP 5352,CONFLICT RESOLUTION IN THE PUBLIC AND NONPROFIT MANAGEMENT,[None],[None],required
PAPP 5353,REFORM AND INNOVATION IN URBAN PUBLIC AND NON-PROFIT MANAGEMENT,[None],[None],required
PAPP 5354,NONPROFIT MANAGEMENT AND SOCIAL ENTREPRENEURSHIP,[None],[None],required
PAPP 5355,NONPROFIT ORGANIZATIONS IN PUBLIC POLICY,[None],[None],required
PAPP 5356,ENTREPRENEURSHIP IN PUBLIC AND NON-PROFIT MANAGEMENT,[None],[None],required
PAPP 5357,STRATEGIC MGT AND PLANNING IN PUBLIC AND NON-PROFIT SERVICES,[None],[None],required
PAPP 5358,ETHICS IN THE PUBLIC SERVICE,[None],[None],required
PAPP 5359,ORGANIZATIONAL DIAGNOSIS,[None],[None],required
PAPP 5360,PUBLIC AND NON-PROFIT MANAGEMENT INTERNSHIP,[None],[None],required
PAPP 5361,INTERNATIONAL ORGANIZATIONS,[None],[None],required
PAPP 5362,URBAN DIVERSITY,[None],[None],required
PAPP 5363,CIVIL RIGHTS AND URBAN MINORITIES,[None],[None],required
PAPP 5364,URBAN POLITICAL ECONOMY,[None],[None],required
PAPP 5365,FOUNDATIONS OF ENVIRONMENTAL POLICY,[None],[None],required
PAPP 5366,US IMMIGRATION POLICIES AND PLANNING FOR IMMIGRANTS,[None],[None],required
PAPP 5367,STRATEGIC PUBLIC AND NONPROFIT HUMAN RESOURCES MANAGEMENT,[None],[None],required
PAPP 5368,PRACTICAL EMPLOYMENT FOR PUBLIC AND NONPROFIT MANAGERS,[None],[None],required
PAPP 5390,TOPICS IN URBAN THEORY,[None],[None],required
PAPP 5391,TOPICS IN URBAN POLICY,[None],[None],required
PAPP 5392,TOPICS IN URBAN MANAGEMENT,[None],[None],required
PAPP 5394,SPECIAL TOPICS IN URBAN RESEARCH,[None],[None],required
PAPP 5395,CONFERENCE COURSE IN URBAN AFFAIRS,[None],[None],required
PAPP 5396,PROJECT REPORT,[None],[None],required
PAPP 5397,RESEARCH REPORT,['PAPP 5342'],[None],required
PAPP 5398,THESIS,[None],[None],required
PAPP 5399,PUBLIC ADMINISTRATION CAPSTONE,[None],[None],required
PAPP 5698,THESIS,[None],[None],required
PAPP 6301,RESEARCH FOUNDATIONS AND PH.D. WORKSHOP,"['PLAN 5346', 'PLAN 5317']",[None],required
PAPP 6305,ADVANCED THEORIES OF URBAN SOCIETY,[None],[None],required
PAPP 6306,THE URBAN ECONOMY,[None],[None],required
PAPP 6307,URBAN GEOGRAPHY,[None],[None],required
PAPP 6309,INTERGOVERNMENTAL RELATIONS IN THE ADMINISTRATION AND PUBLIC POLICY,[None],[None],required
PAPP 6310,MONETARY AND FISCAL POLICY: THE FEDERAL ROLE,[None],[None],required
