Formal Name,Course Name,Prerequisites,Corequisites,Requirement
PCOM 2301,INTRODUCTION TO NONPROFITS AND PHILANTHROPY,[None],[None],required
PCOM 3301,FUNDRAISING AND DEVELOPMENT,['PCOM 2301'],[None],required
PCOM 3309,ORGANIZATIONAL COMMUNICATION,['COMS 2304'],[None],required
PCOM 3310,NONPROFIT PROGRAM DESIGN AND GRANT WRITING,['PCOM 2301'],[None],required
PCOM 3320,STRATEGIC SOCIAL MEDIA COMMUNICATION,[None],[None],required
PCOM 4301,NONPROFIT MANAGEMENT,"['COMM 3315', 'PCOM 2301', 'PCOM 3301']",[None],required
PCOM 4315,PROFESSIONAL PRESENTATIONS,"['COMS 1301', 'COMS 2302', 'COMS 2304', 'COMS 2305']",[None],required
PCOM 4320,MANAGERIAL COMMUNICATION,"['COMM 3315', 'COMS 3309']",[None],required
PCOM 4391,CONFERENCE COURSE,[None],[None],required
PCOM 4393,SPECIAL TOPICS,[None],[None],required
PCOM 4395,DIRECTED INTERNSHIP IN NONPROFITS AND PHILANTHROPY,"['COMM 3315', 'PCOM 2301', 'PCOM 3301']",[None],required
