Formal Name,Course Name,Prerequisites,Corequisites,Requirement
PHIL 1301,FUNDAMENTALS OF REASONING,[None],[None],required
PHIL 1304,CONTEMPORARY MORAL PROBLEMS,[None],[None],required
PHIL 2300,INTRODUCTION TO PHILOSOPHY,[None],[None],required
PHIL 1300,Credit cannot be received for both PHIL 1300 and PHIL 2300 . PHIL 2311. LOGIC,[None],[None],required
PHIL 2313,PHILOSOPHY OF THE ARTS,[None],[None],required
PHIL 2314,PERSPECTIVES ON SCIENCE AND MATHEMATICS,[None],[None],required
PHIL 2315,TOPICS IN PHILOSOPHY,[None],[None],required
PHIL 2316,"COMPUTATION, MIND, AND PARADOX",[None],[None],required
PHIL 3301,HISTORY OF PHILOSOPHY: ANCIENT PHILOSOPHY,[None],[None],required
PHIL 3302,HISTORY OF PHILOSOPHY: ROMAN AND MEDIEVAL PHILOSOPHY,[None],[None],required
PHIL 3303,HISTORY OF PHILOSOPHY: RENAISSANCE AND EARLY MODERN EUROPEAN PHILOSOPHY,[None],[None],required
PHIL 3304,HISTORY OF PHILOSOPHY: NINETEENTH AND EARLY TWENTIETH CENTURY PHILOSOPHY,[None],[None],required
PHIL 3305,HISTORY OF PHILOSOPHY: CLASSICAL INDIAN & BUDDHIST PHILOSOPHY,[None],[None],required
PHIL 3307,SEMINAR IN RESEARCH METHODS AND PHILOSOPHICAL WRITING,['PHIL 2311'],[None],required
PHIL 3312,ETHICS,[None],[None],required
PHIL 3315,EXISTENTIALISM,[None],[None],required
PHIL 3316,PHILOSOPHY OF RELIGION,[None],[None],required
PHIL 3317,PHILOSOPHICAL LOGIC,['PHIL 2311'],[None],required
PHIL 3318,THE PHILOSOPHY OF SCIENCE AND TECHNOLOGY,[None],[None],required
PHIL 4315,Credit cannot be received for both PHIL 4315 and PHIL 3318 . PHIL 3319. BIOMEDICAL ETHICS,[None],[None],required
PHIL 3320,PHILOSOPHY OF LAW,[None],[None],required
PHIL 3321,PHILOSOPHY OF LANGUAGE,[None],[None],required
PHIL 3322,DISABILITY ETHICS,[None],[None],required
PHIL 3324,BUSINESS ETHICS,[None],[None],required
PHIL 3330,SOCIAL AND POLITICAL PHILOSOPHY,[None],[None],required
PHIL 3340,TOPICS IN APPLIED ETHICS,[None],[None],required
PHIL 3341,TOPICS IN BIOETHICS,[None],[None],required
PHIL 3350,TOPICS IN ANCIENT GREEK PHILOSOPHY,[None],[None],required
PHIL 3390,HONORS COLLOQUIUM,[None],[None],required
PHIL 4191,UNDERGRADUATE CONFERENCE COURSE,[None],[None],required
PHIL 4192,CONFERENCE COURSE IN BIOETHICS,[None],[None],required
PHIL 4291,UNDERGRADUATE CONFERENCE COURSE,[None],[None],required
PHIL 4292,CONFERENCE COURSE IN BIOETHICS,[None],[None],required
PHIL 4318,PHILOSOPHY AND LITERATURE,[None],[None],required
PHIL 4380,PHENOMENOLOGY,[None],[None],required
PHIL 4383,PHILOSOPHY OF MIND,[None],[None],required
PHIL 4385,THEORY OF KNOWLEDGE,[None],[None],required
PHIL 4386,METAPHYSICS,[None],[None],required
PHIL 4387,TOPICS IN VALUE THEORY,[None],[None],required
PHIL 4388,TOPICS IN THE HISTORY OF PHILOSOPHY,[None],[None],required
PHIL 4389,TOPICS IN PHILOSOPHY AND THE SOCIAL SCIENCES,[None],[None],required
PHIL 4391,UNDERGRADUATE CONFERENCE COURSE,[None],[None],required
PHIL 4392,CONFERENCE COURSE IN BIOETHICS,[None],[None],required
PHIL 4394,SENIOR THESIS,[None],[None],required
PHIL 5391,CONFERENCE COURSE IN PHILOSOPHY,[None],[None],required
PHIL 5392,TOPICS IN THE HISTORY OF PHILOSOPHY,[None],[None],required
PHIL 5393,PHILOSOPHICAL PERSPECTIVES ON THE HUMANITIES,[None],[None],required
PHIL 6389,SEMINAR IN PHILOSOPHICAL ANALYSIS,[None],[None],required
PHIL 6394,TOPICS IN SYSTEMATIC PHILOSOPHY,[None],[None],required
