Formal Name,Course Name,Prerequisites,Corequisites,Requirement
PHYS 1181,PROBLEMS IN MECHANICS,"['MATH 1426', 'PHYS 1441']",[None],required
PHYS 1182,PROBLEMS IN ELECTRICITY AND MAGNETISM,"['MATH 2425', 'PHYS 1442']",[None],required
PHYS 1188,SPECIAL PROBLEMS IN GENERAL PHYSICS,['PHYS 1441'],[None],required
PHYS 1288,SPECIAL PROBLEMS IN GENERAL PHYSICS,"['PHYS 1441', 'PHYS 1442', 'PHYS 1444']",[None],required
PHYS 1300,INTRODUCTION TO MUSICAL ACOUSTICS,[None],[None],required
PHYS 1301,PHYSICS FOR NON SPECIALISTS I,[None],[None],required
PHYS 1302,PHYSICS FOR NON SPECIALISTS II,['PHYS 1301'],[None],required
PHYS 1351,ENERGY AND ENVIRONMENT,[None],[None],required
PHYS 1441,GENERAL COLLEGE PHYSICS I,[None],[None],required
PHYS 1442,GENERAL COLLEGE PHYSICS II,['PHYS 1441'],[None],required
PHYS 1443,GENERAL TECHNICAL PHYSICS I,['MATH 1426'],[None],required
PHYS 1444,GENERAL TECHNICAL PHYSICS II,"['PHYS 1443', 'MATH 2425']",[None],required
PHYS 2311,MATHEMATICAL METHODS OF PHYSICS,"['PHYS 1444', 'MATH 2425']",[None],required
PHYS 2315,INTRODUCTORY ASTROPHYSICS,['PHYS 1444'],[None],required
PHYS 2321,COMPUTATIONAL PHYSICS,['PHYS 1444'],[None],required
PHYS 3183,MODERN PHYSICS LABORATORY,['PHYS 3313'],[None],required
PHYS 3313,INTRODUCTION TO MODERN PHYSICS,"['PHYS 1444', 'MATH 2425']",[None],required
PHYS 3315,ASTROPHYSICS AND COSMOLOGY,"['PHYS 3313', 'MATH 3318']",[None],required
PHYS 3316,ASTROBIOLOGY I,"['PHYS 1441', 'PHYS 2315']",[None],required
PHYS 3321,INTERMEDIATE ELECTRICITY AND MAGNETISM,"['PHYS 2311', 'MATH 3318']",[None],required
PHYS 3341,INTRODUCTION TO BIOLOGICAL PHYSICS,['PHYS 1442'],[None],required
PHYS 3342,INTRODUCTION TO NANO-BIO PHYSICS,['PHYS 1442'],[None],required
PHYS 3358,ASTROBIOLOGY II,"['PHYS 1441', 'PHYS 2315']",[None],required
PHYS 3360,PHYSICS OF THE HUMAN BODY,['PHYS 3360'],[None],required
PHYS 3366,SPECIAL TOPICS IN PRE-COLLEGE PHYSICAL SCIENCE INSTRUCTION,[None],[None],required
PHYS 3445,OPTICS,"['PHYS 1444', 'MATH 2425']",[None],required
PHYS 3446,NUCLEAR AND PARTICLE PHYSICS,['PHYS 3313'],[None],required
PHYS 3455,ELECTRONICS,"['PHYS 3313', 'MATH 2425']",[None],required
PHYS 4081,UNDERGRADUATE RESEARCH IN PHYSICS,[None],[None],required
PHYS 4117,INDIVIDUAL LEARNING BY SEMINAR,[None],[None],required
PHYS 4171,ADVANCED OPTICS LABORATORY,['PHYS 3445'],[None],required
PHYS 4181,SPECIAL PROBLEMS,[None],[None],required
PHYS 4185,ADVANCED ELECTRICITY AND MAGNETISM LABORATORY,['PHYS 4324'],[None],required
PHYS 4191,SPECIAL TOPICS IN PHYSICS,[None],[None],required
PHYS 4271,ADVANCED OPTICS LAB,['PHYS 3445'],[None],required
PHYS 4281,SPECIAL PROBLEMS,[None],[None],required
PHYS 4291,SPECIAL TOPICS,[None],[None],required
PHYS 4315,THERMODYNAMICS AND STATISTICAL MECHANICS,"['PHYS 3313', 'MATH 2326']",[None],required
PHYS 4319,ADVANCED MECHANICS,"['PHYS 2311', 'PHYS 3321', 'MATH 3318']",[None],required
PHYS 4324,ADVANCED ELECTRICITY AND MAGNETISM,['PHYS 3321'],[None],required
PHYS 4325,SOLID STATE PHYSICS,['PHYS 4315'],[None],required
PHYS 4326,INTRODUCTION TO QUANTUM MECHANICS,"['PHYS 3313', 'MATH 3318']",[None],required
PHYS 4327,INTRODUCTION TO QUANTUM MECHANICS II,['PHYS 4326'],[None],required
PHYS 4343,RESEARCH METHODS - UTEACH,['SCIE 1201'],[None],required
PHYS 4391,SPECIAL TOPICS,[None],[None],required
PHYS 4392,MEDICAL PHYSICS 1,"['PHYS 1443', 'PHYS 1444', 'PHYS 2311', 'MATH 3318']",[None],required
PHYS 4393,HONORS THESIS IN PHYSICS,[None],[None],required
PHYS 5193,READINGS IN PHYSICS,[None],[None],required
PHYS 5194,RESEARCH IN PHYSICS,[None],[None],required
PHYS 5294,RESEARCH IN PHYSICS,[None],[None],required
PHYS 5305,CHAOS AND NONLINEAR DYNAMICS,[None],[None],required
PHYS 5306,CLASSICAL MECHANICS,[None],[None],required
PHYS 5307,QUANTUM MECHANICS I,[None],[None],required
PHYS 5308,QUANTUM MECHANICS II,['PHYS 5307'],[None],required
