Formal Name,Course Name,Prerequisites,Corequisites,Requirement
PLAN 1301,INTRODUCTION TO URBAN LIFE,[None],[None],required
PLAN 3301,THE METROPLEX,[None],[None],required
PLAN 4305,FOUNDATIONS OF ENVIRONMENTAL PROTECTION AND SUSTAINABILITY,[None],[None],required
PLAN 4310,PLANNING THE AMERICAN CITY,[None],[None],required
PLAN 4320,SUSTAINABLE COMMUNITIES,[None],[None],required
PLAN 4327,GREEN CITIES AND TRANSPORTATION,[None],[None],required
PLAN 4356,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS,[None],[None],required
PLAN 4357,INTERMEDIATE GEOGRAPHIC INFORMATION SYSTEMS,['PLAN 4356'],[None],required
PLAN 4391,INDEPENDENT STUDY,[None],[None],required
PLAN 4394,COMMUNITY RESEARCH & APPLICATION,[None],[None],required
PLAN 4395,STUDIES IN PLANNING,[None],[None],required
PLAN 5160,URBAN MANAGEMENT/PLANNING INTERNSHIP,[None],[None],required
PLAN 5191,CONFERENCE COURSE,[None],[None],required
PLAN 5193,MASTER'S COMPREHENSIVE EXAMINATION,[None],[None],required
PLAN 5197,PROFESSIONAL REPORT,[None],[None],required
PLAN 5297,PROFESSIONAL REPORT,[None],[None],required
PLAN 5300,FOUNDATIONS OF URBAN THEORY,[None],[None],required
PLAN 5303,"PLANNING HISTORY, THEORY AND ETHICS",[None],[None],required
PLAN 5304,"PLAN IMPLEMENTATION, ZONING, AND REGULATIONS",[None],[None],required
PLAN 5305,"LAND USE, MANAGEMENT AND DEVELOPMENT",[None],[None],required
PLAN 5306,URBAN REVITALIZATION,[None],[None],required
PLAN 5307,URBANIZATION IN THE DEVELOPING WORLD,[None],[None],required
PLAN 5308,METROPOLITAN SUSTAINABILITY AND PLAN MAKING,[None],[None],required
PLAN 5309,TRANSPORTATION/LAND USE MODELING AND POLICY ANALYSIS,[None],[None],required
PLAN 5310,"PLANNING, URBAN DEVELOPMENT AND STRUCTURE",[None],[None],required
PLAN 5311,ELEMENTS OF URBAN DESIGN,[None],[None],required
PLAN 5312,STRATEGIC MGT AND PLANNING IN PUBLIC AND NON-PROFIT SERVICES,[None],[None],required
PLAN 5313,URBAN GROWTH POLICIES,[None],[None],required
PLAN 5315,"TRANSPORTATION POLICIES, PROGRAMS AND HISTORY",[None],[None],required
PLAN 5316,LAND USE PLANNING AND THE LAW,[None],[None],required
PLAN 5317,INTERMEDIATE DATA ANALYSIS,['PAPP 5302'],[None],required
PLAN 5318,TECHNIQUES OF PLANNING ANALYSIS I,[None],[None],required
PLAN 5319,AGENCIES OF PLANNING AND ADMINISTRATION,[None],[None],required
PLAN 5320,DATABASE MANAGEMENT FOR URBAN PLANNING AND ADMINISTRATION,[None],[None],required
PLAN 5321,VISUAL BASIC AND GIS,[None],[None],required
PLAN 5322,ECONOMIC DEVELOPMENT PLANNING AND POLICY,[None],[None],required
PLAN 5323,HISTORIC PRESERVATION,[None],[None],required
PLAN 5324,COMMUNITY DEVELOPMENT,[None],[None],required
PLAN 5325,PHYSICAL PLANNING AND URBAN DESIGN,[None],[None],required
PLAN 5326,CULTURAL PLANNING AND URBAN DEVELOPMENT,[None],[None],required
PLAN 5327,GREEN CITIES AND TRANSPORTATION,[None],[None],required
PLAN 5328,PUBLIC BUDGETING,[None],[None],required
PLAN 5329,PUBLIC CAPITAL BUDGETING,[None],[None],required
PLAN 5330,TECHNIQUES OF PLANNING ANALYSIS II,[None],[None],required
PLAN 5331,GIS WORKSHOP,['PLAN 5357'],[None],required
PLAN 5332,PROJECT STUDIO,[None],[None],required
PLAN 5333,GRAPHICS AND MULTIMEDIA COMMUNICATION IN PLANNING,[None],[None],required
PLAN 5335,PROFESSIONAL WRITING,[None],[None],required
PLAN 5340,GIS AND SUITABILITY ANALYSIS,[None],[None],required
PLAN 5341,ENVIRONMENTAL REGULATIONS: LAWS AND PLANNING,[None],[None],required
PLAN 5342,ENVIRONMENTAL POLICY,[None],[None],required
PLAN 5343,FOUNDATIONS OF ENVIRONMENTAL POLICY,[None],[None],required
PLAN 5344,HUMAN SERVICES PLANNING,[None],[None],required
PLAN 5346,QUALITATIVE METHODS,[None],[None],required
PLAN 5347,URBAN PROBLEMS,[None],[None],required
PLAN 5350,ENVIRONMENTAL PLANNING,[None],[None],required
PLAN 5351,TECHNIQUES OF ENVIRONMENTAL ASSESSMENT,[None],[None],required
PLAN 5352,ENVIRONMENT ASSESSMENT POLICY & PRACTICE,[None],[None],required
PLAN 5353,ENVIRONMENTAL LAW,[None],[None],required
PLAN 5354,"HOUSING PLANNING, POLICY AND FINANCE",[None],[None],required
PLAN 5356,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS,[None],[None],required
PLAN 5357,INTERMEDIATE GEOGRAPHIC INFORMATION SYSTEMS,['PLAN 5356'],[None],required
PLAN 5358,INTELLIGENT TRANSPORTATION SYSTEMS (ITS) AND PLANNING,[None],[None],required
PLAN 5360,COMPUTER METHODS FOR TRANSPORTATION PLANNING,[None],[None],required
PLAN 5361,PLANNING INTERNSHIP,[None],[None],required
PLAN 5362,URBAN DIVERSITY,[None],[None],required
PLAN 5363,LEADERSHIP AND COMMUNICATION SKILLS IN THE PLANNING PROCESS,[None],[None],required
PLAN 5364,ECONOMIC BASE AND INDUSTRIAL DEVELOPMENT POLICY,[None],[None],required
PLAN 5370,SUSTAINABLE COMMUNITIES,[None],[None],required
PLAN 5380,RESEARCH QUESTIONS IN PLANNING,[None],[None],required
PLAN 5391,CONFERENCE COURSE,[None],[None],required
PLAN 5395,SPECIAL TOPICS IN PLANNING,[None],[None],required
PLAN 5397,PROFESSIONAL REPORT,['PLAN 5380'],[None],required
PLAN 5398,PLANNING THESIS,[None],[None],required
PLAN 5695,TOPICS IN PLANNING,[None],[None],required
PLAN 5698,PLANNING THESIS,[None],[None],required
PLAN 5998,PLANNING THESIS,[None],[None],required
