Formal Name,Course Name,Prerequisites,Corequisites,Requirement
POLS 2311,GOVERNMENT OF THE UNITED STATES,[None],[None],required
POLS 2312,STATE AND LOCAL GOVERNMENT,[None],[None],required
POLS 3301,INTRODUCTION TO GLOBAL ISSUES,[None],[None],required
POLS 3302,INTRODUCTION TO INTERNATIONAL RELATIONS,[None],[None],required
POLS 3303,BUREAUCRATIC POLITICS,"['POLS 2311', 'POLS 2312']",[None],required
POLS 3304,INTRODUCTION TO COMPARATIVE POLITICS,"['POLS 2311', 'POLS 2312']",[None],required
POLS 3305,GOVERNMENT IN URBAN AMERICA,[None],[None],required
POLS 3306,LEGISLATIVE ORGANIZATION AND PROCEDURE,"['POLS 2311', 'POLS 2312']",[None],required
POLS 3307,COMPARATIVE STATE AND LOCAL POLITICS,[None],[None],required
POLS 3309,"HEALTH POLITICS, POLICY, AND ADVOCACY",[None],[None],required
POLS 3310,RESEARCH METHODS AND POLITICAL ANALYSIS,"['POLS 2311', 'POLS 2312', 'MATH 1301', 'MATH 1308']",[None],required
POLS 3311,PUBLIC OPINION,"['POLS 2311', 'POLS 2312']",[None],required
POLS 3312,INTRODUCTION TO PUBLIC POLICY ANALYSIS,"['POLS 2311', 'POLS 2312']",[None],required
POLS 3313,MODERN CRITICS OF SOCIETY AND POLITICS,"['POLS 2311', 'POLS 2312']",[None],required
POLS 3315,VIOLENCE & REPRESSION IN THE AMERICAS,"['POLS 2311', 'POLS 2312']",[None],required
POLS 3317,MEXICAN POLITICS AND U.S.-MEXICO RELATIONS,"['POLS 2311', 'POLS 2312']",[None],required
POLS 3319,CAUSES OF WAR,[None],[None],required
POLS 3328,INTRODUCTION TO MIDDLE EAST POLITICS,"['POLS 2311', 'POLS 2312']",[None],required
POLS 3330,JUDICIAL POLITICS,"['POLS 2311', 'POLS 2312']",[None],required
POLS 3331,CONTEMPORARY ISSUES IN CIVIL LIBERTIES,"['POLS 2311', 'POLS 2312']",[None],required
POLS 3333,JURISPRUDENCE AND CONSTITUTIONAL CONFLICT,"['POLS 2311', 'POLS 2312']",[None],required
POLS 3336,STATE COURTS,"['POLS 2311', 'POLS 2312']",[None],required
POLS 3337,LAW AND LAWYERS IN POPULAR CULTURE AND REALITY,"['POLS 2311', 'POLS 2312']",[None],required
POLS 3378,LATINO POLITICS,[None],[None],required
POLS 3379,LATINO POLITICAL THOUGHT,[None],[None],required
POLS 3390,HONORS COLLOQUIUM,"['POLS 2311', 'POLS 2312']",[None],required
POLS 4102,POLITICAL SCIENCE SERVICE LEARNING,"['POLS 2311', 'POLS 2312']",[None],required
POLS 4103,POLITICAL SCIENCE AMBASSADORS,"['POLS 2311', 'POLS 2312']",[None],required
POLS 4300,POLITICS IN POPULAR CULTURE,[None],[None],required
POLS 4301,ENTERTAINMENT AND MEDIA LAW,[None],[None],required
POLS 4303,PUBLIC ADMINISTRATION AND THE POLITICAL PROCESS,"['POLS 2311', 'POLS 2312']",[None],required
POLS 4310,ANALYZING AND VISUALIZING POLITICAL DATA,['POLS 3310'],[None],required
POLS 4311,INTERNATIONAL RELATIONS AND POLITICAL PSYCHOLOGY,[None],[None],required
POLS 4312,INTERNATIONAL ORGANIZATIONS,[None],[None],required
POLS 4315,DEMOCRACY IN THEORY AND PRACTICE,"['POLS 2311', 'POLS 2312']",[None],required
