Formal Name,Course Name,Prerequisites,Corequisites,Requirement
PREL 2338,INTRODUCTION TO PUBLIC RELATIONS,[None],[None],required
PREL 3313,CRISIS COMMUNICATION,[None],[None],required
PREL 3320,STRATEGIC SOCIAL MEDIA COMMUNICATION,[None],[None],required
PREL 3339,PUBLIC RELATIONS METHODS I,[None],[None],required
PREL 3340,PUBLIC RELATIONS METHODS II,['PREL 3339'],[None],required
PREL 4316,PUBLIC RELATIONS CAMPAIGNS,"['PREL 3339', 'PREL 3340']",[None],required
PREL 4320,PUBLIC RELATIONS MANAGEMENT CASE STUDIES,['COMM 3315'],[None],required
PREL 4391,CONFERENCE COURSE,[None],[None],required
PREL 4393,SPECIAL TOPICS,[None],[None],required
PREL 4395,PROFESSIONAL INTERNSHIP,[None],[None],required
