Formal Name,Course Name,Prerequisites,Corequisites,Requirement
PSYC 1315,INTRODUCTION TO PSYCHOLOGY,[None],[None],required
PSYC 2300,STATISTICS IN PSYCHOLOGY,"['PSYC 1315', 'MATH 1301', 'MATH 1302', 'MATH 1315', 'MATH 1402']",[None],required
PSYC 2315,STUDENT SUCCESS IN PSYCHOLOGY,[None],[None],required
PSYC 2317,BASIC CONCEPTS IN HUMAN SEXUALITY,[None],[None],required
PSYC 3200,EXPERIENCING RESEARCH IN PSYCHOLOGY,"['PSYC 2300', 'PSYC 3300']",[None],required
PSYC 3300,RESEARCH METHODS IN PSYCHOLOGY,[None],[None],required
PSYC 3301,PSYCHOLOGY OF HUMAN RELATIONS,[None],[None],required
PSYC 3302,BUSINESS PSYCHOLOGY,[None],[None],required
PSYC 3303,DRUGS AND BEHAVIOR,[None],[None],required
PSYC 3304,ANALYSIS & MANAGEMENT OF BEHAVIOR,['PSYC 1315'],[None],required
PSYC 3305,PSYCHOLOGY OF EMPLOYEE TRAINING,[None],[None],required
PSYC 3306,PSYCHOLOGY OF CREATIVITY AND CREATIVE THINKING,['PSYC 1315'],[None],required
PSYC 3310,DEVELOPMENTAL PSYCHOLOGY,['PSYC 1315'],[None],required
PSYC 3312,SOCIAL & PERSONALITY DEVELOPMENT,['PSYC 1315'],[None],required
PSYC 3313,CULTURAL STUDIES IN PSYCHOLOGY,['PSYC 1315'],[None],required
PSYC 3314,PSYCHOLOGY OF PERSONALITY,['PSYC 1315'],[None],required
PSYC 3315,SOCIAL PSYCHOLOGY,['PSYC 1315'],[None],required
PSYC 3317,INTRODUCTION TO CLINICAL AND COUNSELING PSYCHOLOGY,['PSYC 1315'],[None],required
PSYC 3318,ABNORMAL PSYCHOLOGY,['PSYC 1315'],[None],required
PSYC 3319,PSYCHOLOGY OF ADOLESCENCE,['PSYC 1315'],[None],required
PSYC 3320,BEHAVIOR AND MOTIVATION,['PSYC 1315'],[None],required
PSYC 3322,BRAIN AND BEHAVIOR,"['BIOL 1441', 'BIOL 1442']",[None],required
PSYC 3325,DATA SCIENCE IN PSYCHOLOGY,['PSYC 2300'],[None],required
PSYC 3326,ANIMAL BEHAVIOR,"['BIOL 1441', 'BIOL 1442']",[None],required
PSYC 3334,COGNITIVE PROCESSES,['PSYC 1315'],[None],required
PSYC 3356,EVOLUTIONARY PSYCHOLOGY,['PSYC 1315'],[None],required
PSYC 3357,CYBERPSYCHOLOGY BASIC CONCEPTS,[None],[None],required
PSYC 3358,CYBERPSYCHOLOGY APPLICATIONS,[None],[None],required
PSYC 3359,POLITICAL PSYCHOLOGY FOR THE INTERNET,[None],[None],required
PSYC 3360,CAREERS IN PSYCHOLOGY,"['PSYC 1315', 'PSYC 2315']",[None],required
PSYC 4081,VOLUNTEER RESEARCH IN PSYCHOLOGY,[None],[None],required
PSYC 4161,READINGS IN PSYCHOLOGY,[None],[None],required
PSYC 4181,RESEARCH IN PSYCHOLOGY,[None],[None],required
PSYC 4191,UNDERGRADUATE TEACHING EXPERIENCE,"['PSYC 1315', 'PSYC 4391']",[None],required
PSYC 4261,READINGS IN PSYCHOLOGY,[None],[None],required
PSYC 4281,RESEARCH IN PSYCHOLOGY,[None],[None],required
PSYC 4291,UNDERGRADUATE TEACHING EXPERIENCE,"['PSYC 1315', 'PSYC 4391']",[None],required
PSYC 4301,PRINCIPLES OF NEUROSCIENCE,['PSYC 3322'],[None],required
PSYC 4309,NEUROPHARMACOLOGY,['BIOL 1441'],[None],required
PSYC 4315,HORMONES AND BEHAVIOR,['PSYC 3322'],[None],required
PSYC 4327,BEHAVIORAL GENETICS,['PSYC 1315'],[None],required
PSYC 4332,THEORIES OF HUMAN LEARNING AND MEMORY,['PSYC 1315'],[None],required
PSYC 4334,SENSATION AND PERCEPTION,['PSYC 3322'],[None],required
PSYC 4335,COGNITIVE DEVELOPMENT,['PSYC 3300'],[None],required
PSYC 4338,COGNITIVE NEUROSCIENCE,['PSYC 4332'],[None],required
PSYC 4339,PSYCHOLOGY OF JUDGMENT AND CHOICE,['PSYC 2300'],[None],required
PSYC 4357,HEALTH PSYCHOLOGY,['PSYC 1315'],[None],required
PSYC 4359,SELECTED TOPICS IN PSYCHOLOGY,[None],[None],required
