Formal Name,Course Name,Prerequisites,Corequisites,Requirement
REAE 3325,REAL ESTATE FUNDAMENTALS,['MATH 1315'],[None],required
REAE 4191,STUDIES IN REAL ESTATE,[None],[None],required
REAE 4291,STUDIES IN REAL ESTATE,[None],[None],required
REAE 4314,REAL ESTATE DEVELOPMENT,[None],[None],required
REAE 4319,REAL ESTATE FINANCE,['REAE 3325'],[None],required
REAE 4321,REAL ESTATE INVESTMENT,['REAE 3325'],[None],required
REAE 4331,SEMINAR IN REAL ESTATE,[None],[None],required
REAE 4334,REAL ESTATE APPRAISAL,['REAE 3325'],[None],required
REAE 4391,STUDIES IN REAL ESTATE,[None],[None],required
REAE 4393,REAL ESTATE INTERNSHIP,[None],[None],required
REAE 5182,INDEPENDENT STUDIES IN REAL ESTATE,[None],[None],required
REAE 5199,GRAD REAL ESTATE INTERNSHIP,[None],[None],required
REAE 5299,GRAD REAL ESTATE INTERNSHIP,[None],[None],required
REAE 5301,SUSTAINABLE ISSUES IN THE BUILT ENVIRONMENT,[None],[None],required
REAE 5302,SUSTAINABLE STRATEGIES IN THE BUILT ENVIRONMENT,[None],[None],required
REAE 5303,SUSTAINABLE POLICIES IN THE BUILT ENVIRONMENT,[None],[None],required
REAE 5304,SUSTAINABLE PROJECTS IN THE BUILT ENVIRONMENT,[None],[None],required
REAE 5311,REAL ESTATE ANALYSIS,[None],[None],required
REAE 5312,INTERNATIONAL PROPERTY MARKETS,[None],[None],required
REAE 5313,GIS & PROPERTY ANALYSIS,[None],[None],required
REAE 5314,SEMINAR IN REAL ESTATE DEVELOPMENT,[None],[None],required
REAE 5315,REAL ESTATE TRENDS & ISSUES,[None],[None],required
REAE 5316,ADAPTIVE REUSE & REDEVELOPMENT OF COMMERCIAL INVESTMENT REAL ESTATE,[None],[None],required
REAE 5317,REAL ESTATE CONSTRUCTION MANAGEMENT,[None],[None],required
REAE 5318,SUSTAINABLE DEVELOPMENT,[None],[None],required
REAE 5319,SEMINAR IN REAL ESTATE FINANCE,[None],[None],required
REAE 5320,TEXAS REAL ESTATE STUDY TOUR,[None],[None],required
REAE 5321,SEMINAR IN REAL ESTATE INVESTMENT,[None],[None],required
REAE 5322,COMMERCIAL LEASE ANALYSIS,[None],[None],required
REAE 5323,REAL ESTATE PROJECT STUDIO,[None],[None],required
REAE 5324,REAL ESTATE ECONOMICS,[None],[None],required
REAE 5327,ADVANCED REAL ESTATE MARKET ANALYSIS,[None],[None],required
REAE 5334,SEMINAR IN REAL ESTATE APPRAISAL,[None],[None],required
REAE 5337,REAL PROPERTY LAW,[None],[None],required
REAE 5350,QUANTITATIVE METHODS FOR REAL ESTATE,[None],[None],required
REAE 5382,INDEPENDENT STUDIES IN REAL ESTATE,[None],[None],required
REAE 5392,SELECTED TOPICS IN REAL ESTATE,['REAE 5311'],[None],required
REAE 5398,THESIS,[None],[None],required
REAE 5399,GRAD REAL ESTATE INTERNSHIP,[None],[None],required
REAE 5698,THESIS,[None],[None],required
REAE 6390,SEMINAR IN SPECIAL TOPICS IN REAL ESTATE,['REAE 5311'],[None],required
REAE 6392,RESEARCH IN REAL ESTATE,['REAE 5311'],[None],required
