Formal Name,Course Name,Prerequisites,Corequisites,Requirement
REE 1301,INTRODUCTION TO RESOURCE & ENERGY ENGINEERING,['MATH 1426'],[None],required
REE 1306,THE CHEMISTRY OF FUELS,['CHEM 1465'],[None],required
REE 2301,THERMAL ENGINEERING,"['CHEM 1465', 'CHEM 1442', 'MATH 2425', 'PHYS 1444']",[None],required
REE 3301,PRINCIPLES OF ENERGY ENGINEERING,"['MAE 2323', 'REE 2301']",[None],required
REE 3302,SUSTAINABLE ENERGY SYSTEMS,['REE 2301'],[None],required
REE 3303,PETROLEUM & GAS ENGINEERING,"['GEOL 3340', 'REE 3301']",[None],required
REE 3304,ENERGY STORAGE TECHNOLOGIES,"['REE 2301', 'EE 2440']",[None],required
REE 3310,DATA ANALYTICS AND VISUALIZATION FOR ENERGY SYSTEMS,"['IE 3301', 'REE 3301']",[None],required
REE 4301,ENERGY SYSTEMS MODELING,"['IE 3301', 'REE 3301']",[None],required
REE 4302,SMART GRID,"['EE 3317', 'REE 3304']",[None],required
REE 4303,MANAGEMENT OF ENERGY PROJECTS,[None],[None],required
REE 4305,ENERGY GOVERNANCE,"['IE 2308', 'REE 3302']",[None],required
REE 4310,CAPSTONE DESIGN,[None],[None],required
REE 4390,SPECIAL TOPICS IN ENERGY ENGINEERING,[None],[None],required
