Formal Name,Course Name,Prerequisites,Corequisites,Requirement
RUSS 1441,BEGINNING RUSSIAN I,[None],[None],required
RUSS 1442,BEGINNING RUSSIAN II,['RUSS 1441'],[None],required
RUSS 1491,CONFERENCE COURSE,[None],[None],required
RUSS 2301,TOPICS IN RUSSIAN LITERATURE IN TRANSLATION,"['ENGL 1301', 'ENGL 1302']",[None],required
RUSS 2310,RUSSIAN CULTURE IN THE WORLD,[None],[None],required
RUSS 2313,INTERMEDIATE RUSSIAN I,['RUSS 1442'],[None],required
RUSS 2314,INTERMEDIATE RUSSIAN II,['RUSS 2313'],[None],required
RUSS 2315,INTRODUCTION TO RUSSIAN LANGUAGE AND CULTURE,[None],[None],required
RUSS 2391,CONFERENCE COURSE,[None],[None],required
RUSS 3301,TOPICS IN RUSSIAN LITERATURE IN TRANSLATION,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
RUSS 3304,TOPICS IN RUSSIAN LANGUAGE STUDY,[None],[None],required
RUSS 3305,TOPICS IN RUSSIAN POETRY,[None],[None],required
RUSS 3306,TOPICS IN SOVIET AND POST-SOVIET LITERATURE IN TRANSLATION,"['ENGL 3350', 'ENGL 3340', 'ENGL 3341', 'ENGL 3351', 'ENGL 3352', 'ENGL 3361', 'ENGL 3362']",[None],required
RUSS 3310,LOCALIZATION AND TRANSLATION I,['RUSS 2314'],[None],required
RUSS 3311,LOCALIZATION AND TRANSLATION II,['RUSS 3310'],[None],required
RUSS 3314,POLITICAL SYSTEMS OF EASTERN AND CENTRAL EUROPE,[None],[None],required
RUSS 3333,CONVERSATION AND TOPICS IN RUSSIAN CULTURE,['RUSS 1442'],[None],required
RUSS 3334,RUSSIAN COMPOSITION AND GRAMMAR,['RUSS 1442'],[None],required
RUSS 3343,RUSSIAN PHONETICS,['RUSS 1442'],[None],required
RUSS 3345,INTRODUCTION TO COMPUTER-ASSISTED TRANSLATION,[None],[None],required
RUSS 3391,CONFERENCE COURSE,[None],[None],required
RUSS 3393,RUSSIAN INTERNSHIP,[None],[None],required
RUSS 4301,SELECTED AUTHORS AND TOPICS,[None],[None],required
RUSS 4302,RUSSIAN AND SOVIET CINEMA,[None],[None],required
RUSS 4303,PROPAGANDA AND IDEOLOGY IN SOVIET ART AND LITERATURE,[None],[None],required
RUSS 4304,BANNED AND CENSORED WORKS OF RUSSIAN LITERATURE,[None],[None],required
RUSS 4334,THE CULTURE OF BUSINESS,['RUSS 2314'],[None],required
RUSS 4335,BUSINESS RUSSIAN,['RUSS 4334'],[None],required
RUSS 4338,TOPICS IN INTERCULTURAL COMMUNICATION AND COLLABORATION,['RUSS 1442'],[None],required
RUSS 4342,TOPICS IN SIMULTANEOUS INTERPRETING: THEORY AND PRACTICE,['RUSS 2314'],[None],required
RUSS 4361,"WAR, PEACE, AND POLITICS IN THE FORMER SOVIET UNION","['POLS 2311', 'POLS 2312']",[None],required
RUSS 4362,RUSSIA AND THE POST-SOVIET STATES TODAY,"['POLS 2311', 'POLS 2312']",[None],required
RUSS 4365,RUSSIAN FOREIGN POLICY,"['POLS 2311', 'POLS 2312']",[None],required
RUSS 4391,CONFERENCE COURSE,[None],[None],required
RUSS 4393,RUSSIAN INTERNSHIP,['RUSS 3000'],[None],required
RUSS 4394,HONORS THESIS/SENIOR PROJECT,[None],[None],required
