Formal Name,Course Name,Prerequisites,Corequisites,Requirement
SCIE 1201,STEP 1: INQUIRY APPROACHES TO TEACHING,[None],[None],required
SCIE 1202,STEP 2: INQUIRY-BASED LESSON DESIGN,['SCIE 1101'],[None],required
SCIE 1334,STEP 1 & 2 COMBO: INQUIRY APPROACHES TO TEACHING & LESSON DESIGN,[None],[None],required
SCIE 1350,INTRODUCTION TO DATA SCIENCE,[None],[None],required
SCIE 2301,FOUNDATIONS OF SCIENCE,[None],[None],required
SCIE 2392,SPECIAL TOPICS IN SCIENCE,[None],[None],required
SCIE 3100,MEDICAL LABORATORY SCIENCE FIELD EXPERIENCE,[None],[None],required
SCIE 3200,MEDICAL LABORATORY SCIENCE FIELD EXPERIENCE,[None],[None],required
SCIE 3300,MEDICAL LABORATORY SCIENCE FIELD EXPERIENCE,[None],[None],required
SCIE 3301,PHYSICAL SCIENCE - PHYSICS,[None],[None],required
SCIE 3302,PHYSICAL SCIENCE - CHEMISTRY,[None],[None],required
SCIE 3303,"GEOLOGY, METEOROLOGY, AND OCEANOGRAPHY",[None],[None],required
SCIE 3304,ASTRONOMY,[None],[None],required
SCIE 3305,ENVIRONMENTAL SYSTEMS,[None],[None],required
SCIE 3348,PRE-MEDICAL PRECEPTORSHIP,[None],[None],required
SCIE 3400,MEDICAL LABORATORY SCIENCE FIELD EXPERIENCE,[None],[None],required
SCIE 4101,SPECIAL TOPICS IN COMPOSITE SCIENCE,[None],[None],required
SCIE 4107,CAPSTONE TEACHING EXPERIENCE SEMINAR,"['SCIE 4333', 'SCIE 4607']",[None],required
SCIE 4192,SELECTED TOPICS IN SCIENCE,[None],[None],required
SCIE 4292,SELECTED TOPICS IN SCIENCE,[None],[None],required
SCIE 4301,ISSUES IN AMERICAN HEALTHCARE,[None],[None],required
SCIE 4302,TEACHING AND LEARNING: SCIENTIFIC INQUIRY,[None],[None],required
SCIE 4303,CLINICAL MEDICINE AND THE HUMAN EXPERIENCE,[None],[None],required
SCIE 4304,DIAGNOSIS OF HUMAN DISEASE,[None],[None],required
SCIE 4325,WOMEN IN SCIENCE,[None],[None],required
SCIE 4331,KNOWING AND LEARNING IN STEM,['SCIE 1201'],[None],required
SCIE 4332,CLASSROOM INTERACTIONS,"['SCIE 1202', 'SCIE 4331']",[None],required
SCIE 4333,MULTIPLE TEACHING PRACTICES,['SCIE 4332'],[None],required
SCIE 4392,SELECTED TOPICS IN SCIENCE,[None],[None],required
SCIE 4607,CAPSTONE TEACHING EXPERIENCE FOR STEM SECONDARY GRADES,"['SCIE 4333', 'SCIE 4107']",[None],required
SCIE 5192,SELECTED TOPICS IN SCIENCE,[None],[None],required
SCIE 5292,SELECTED TOPICS IN SCIENCE,[None],[None],required
SCIE 5301,CONTEMPORARY SCIENCE,[None],[None],required
SCIE 5302,CAPSTONE SCIENCE SEMINAR,[None],[None],required
SCIE 5303,TEACHING AND LEARNING: SCIENTIFIC INQUIRY,[None],[None],required
SCIE 5304,SPECIAL TOPICS IN SCIENCE I,[None],[None],required
SCIE 5305,SPECIAL TOPICS IN SCIENCE II,[None],[None],required
SCIE 5307,INTEGRATED PHYSICS AND CHEMISTRY: CHEMISTRY,[None],[None],required
SCIE 5308,INTEGRATED PHYSICS AND CHEMISTRY: PHYSICS,[None],[None],required
SCIE 5321,"MECHANICS, HEAT, & WAVE MOTION",[None],[None],required
SCIE 5322,"ELECTRICITY, MAGNETISM, CIRCUITS, & OPTICS",['SCIE 5321'],[None],required
SCIE 5323,MODERN PHYSICS,"['SCIE 5321', 'SCIE 5322']",[None],required
SCIE 5329,LABORATORY TECHNIQUES IN PHYSICS,"['SCIE 5321', 'SCIE 5322']",[None],required
SCIE 5330,"EARTH SYSTEMS, PART I",[None],[None],required
SCIE 5331,"EARTH SYSTEMS, PART II",['SCIE 5330'],[None],required
SCIE 5332,EARTH RESOURCES & THE ENVIRONMENT,"['SCIE 5330', 'SCIE 5331']",[None],required
SCIE 5335,LABORATORY METHODS & TECHNIQUES,"['SCIE 5330', 'SCIE 5331']",[None],required
SCIE 5355,PRINCIPLES OF CHEMISTRY,[None],[None],required
SCIE 5356,PRINCIPLES OF CHEMISTRY II,['SCIE 5355'],[None],required
SCIE 5357,INTRODUCTORY ORGANIC & BIOCHEMISTRY,"['SCIE 5355', 'SCIE 5356']",[None],required
SCIE 5358,LABORATORY PROBLEMS IN CHEMISTRY,[None],[None],required
SCIE 5356,"Volumetric and gravimetric determinations and qualitative analysis. This course is intended for M.A. in Interdisciplinary Science majors, and may not be taken for credit for the M.S. or Ph.D. degrees in Chemistry or any other College of Science discipline. Prerequisite: SCIE 5355 , SCIE 5356 . SCIE 5371. CELL AND MOLECULAR BIOLOGY",[None],[None],required
SCIE 5372,STRUCTURE & FUNCTION OF ORGANISMS,['SCIE 5371'],[None],required
SCIE 5373,"EVOLUTION, ECOLOGY, AND BIODIVERSITY","['SCIE 5371', 'SCIE 5372']",[None],required
SCIE 5374,LABORATORY PROBLEMS IN BIOLOGY,"['SCIE 5371', 'SCIE 5372']",[None],required
SCIE 5380,MENTORED RESEARCH,[None],[None],required
SCIE 5392,SELECTED TOPICS IN SCIENCE,[None],[None],required
