Formal Name,Course Name,Prerequisites,Corequisites,Requirement
SOCI 1200,PERSONAL AND PROFESSIONAL SUCCESS IN THE SOCIAL SCIENCES,[None],[None],required
SOCI 1310,INTRODUCTION TO POPULAR CULTURE,[None],[None],required
SOCI 1311,INTRODUCTION TO SOCIOLOGY,[None],[None],required
SOCI 2312,SOCIAL PROBLEMS,[None],[None],required
SOCI 3312,JUVENILE DELINQUENCY,[None],[None],required
SOCI 3313,CRIMINOLOGY,[None],[None],required
SOCI 3314,THE LATINA EXPERIENCE,[None],[None],required
SOCI 3315,SOCIAL PSYCHOLOGY OF CRIME,[None],[None],required
SOCI 3316,LATINO HEALTH ISSUES,[None],[None],required
SOCI 3317,INDIVIDUAL AND SOCIETY,[None],[None],required
SOCI 3318,SELF AND SOCIAL IDENTITY,[None],[None],required
SOCI 3319,SMALL GROUPS,[None],[None],required
SOCI 3320,DEVIANCE: SOCIAL AND PERSONAL,[None],[None],required
SOCI 3321,SOCIALIZATION AND SOCIAL CONTROL,[None],[None],required
SOCI 3322,"RACE, LATINOS, AND THE AMERICAN NARRATIVE",[None],[None],required
SOCI 3323,COLLECTIVE BEHAVIOR,['SOCI 1311'],[None],required
SOCI 3324,SOCIAL MOVEMENTS,[None],[None],required
SOCI 3327,INTERCULTURAL INTERACTION,[None],[None],required
SOCI 3328,MARITAL AND SEXUAL LIFESTYLES,[None],[None],required
SOCI 3331,SOCIOLOGY OF THE FAMILY,[None],[None],required
SOCI 3332,SOCIOLOGY OF REPRODUCTION,[None],[None],required
SOCI 3334,SOCIOLOGY OF GENDER,[None],[None],required
SOCI 3336,SOCIAL INEQUALITY,[None],[None],required
SOCI 3337,RACIAL & ETHNIC GROUPS IN US,[None],[None],required
SOCI 3339,"RACE, SPORT AND MEDIA",[None],[None],required
SOCI 3340,SOCIOLOGY OF EDUCATION,[None],[None],required
SOCI 3341,SOCIOLOGY OF SPORT,[None],[None],required
SOCI 3342,SOCIOLOGY OF THE HUMAN BODY,[None],[None],required
SOCI 3343,RELIGION IN MODERN AMERICA,[None],[None],required
SOCI 3345,SOCIOLOGY OF THE 1960S,[None],[None],required
SOCI 3346,U.S. INTO THE TWENTY-FIRST CENTURY,[None],[None],required
SOCI 3347,ENVIRONMENT AND SOCIETY,[None],[None],required
SOCI 3348,SOCIAL ASPECTS OF RISK,[None],[None],required
SOCI 3351,"WORK, OCCUPATIONS, AND CAREER DEVELOPMENT",[None],[None],required
SOCI 3352,APPLIED STATISTICS FOR SOCIAL RESEARCH,[None],[None],required
SOCI 3353,SOCIAL CLIMATE OF CITIES,[None],[None],required
SOCI 3355,APPS AND TOOLS FOR SOCIAL RESEARCH,[None],[None],required
SOCI 3356,"WOMEN, WORK AND SOCIAL CHANGE",[None],[None],required
SOCI 3357,LAW AND SOCIETY,[None],[None],required
SOCI 3360,TOPICS IN SOCIOLOGY,[None],[None],required
SOCI 3362,SOCIAL RESEARCH,[None],[None],required
SOCI 3365,PROGRAM EVALUATION & NEEDS ASSESSMENT,[None],[None],required
SOCI 3462,SOCI 3366. POPULATION TRENDS AND PROCESSES,[None],[None],required
SOCI 3372,SOCIOLOGICAL THEORY,[None],[None],required
SOCI 3373,SOCIAL THEORY THROUGH POPULAR CULTURE,[None],[None],required
SOCI 3380,SCIENCE AND TECHNOLOGY IN SOCIETY,[None],[None],required
SOCI 3381,"INFLUENCERS, CREATORS, AND UBER DRIVERS",[None],[None],required
SOCI 3390,HONORS COLLOQUIUM,[None],[None],required
SOCI 4191,CONFERENCE COURSE,[None],[None],required
SOCI 4193,INTERNSHIP IN SOCIOLOGY,['SOCI 1311'],[None],required
SOCI 4195,SERVICE LEARNING INDEPENDENT STUDY,[None],[None],required
SOCI 4291,CONFERENCE COURSE,[None],[None],required
SOCI 4293,INTERNSHIP IN SOCIOLOGY,['SOCI 1311'],[None],required
SOCI 4295,SERVICE LEARNING INDEPENDENT STUDY,[None],[None],required
SOCI 4303,WOMEN IN SOCIETY,[None],[None],required
SOCI 4306,QUALITATIVE RESEARCH METHODS,[None],[None],required
SOCI 4309,WRITING FOR THE SOCIAL SCIENCES,['SOCI 1311'],[None],required
SOCI 4315,VIOLENCE IN SOCIETY,[None],[None],required
SOCI 4320,MEDICAL SOCIOLOGY,[None],[None],required
SOCI 4331,"RACE, ETHNICITY & FAMILY FORMATION",[None],[None],required
SOCI 4341,INEQUALITIES IN PUBLIC EDUCATION,[None],[None],required
SOCI 4365,TOPICS IN SOCIOLOGY,[None],[None],required
SOCI 4370,SENIOR RESEARCH SEMINAR,['SOCI 3362'],[None],required
SOCI 4391,CONFERENCE COURSE,[None],[None],required
SOCI 4393,INTERNSHIP IN SOCIOLOGY,['SOCI 1311'],[None],required
SOCI 4394,HONORS THESIS/SENIOR PROJECT,[None],[None],required
SOCI 4395,SERVICE LEARNING INDEPENDENT STUDY,[None],[None],required
SOCI 4396,INTERNSHIP IN POPULAR CULTURE,['SOCI 1310'],[None],required
SOCI 5191,CONFERENCE COURSE,[None],[None],required
SOCI 5301,SOCIOLOGICAL THEORY,[None],[None],required
SOCI 5303,RESEARCH DESIGN,[None],[None],required
SOCI 5304,SOCIAL STATISTICS I,[None],[None],required
SOCI 5305,RACIAL AND ETHNIC GROUPS IN THE UNITED STATES,[None],[None],required
SOCI 5306,SEMINAR IN RACE AND ETHNICITY,[None],[None],required
SOCI 5307,"INEQUALITY, POVERTY, AND MOBILITY",[None],[None],required
SOCI 5308,COMPARATIVE ETHNIC AND RACIAL CONFLICT,[None],[None],required
SOCI 5309,CONTEMPORARY BLACK EXPERIENCE,[None],[None],required
SOCI 5310,SEMINARS IN SOCIAL PSYCHOLOGY,[None],[None],required
SOCI 5311,SOCIOLOGY OF FAMILIES,[None],[None],required
SOCI 5312,SOCIOLOGY OF REPRODUCTION,[None],[None],required
SOCI 5313,RACE AND FAMILY,[None],[None],required
SOCI 5314,GENDER AND FAMILY,[None],[None],required
SOCI 5315,WOMEN AND WORK,[None],[None],required
SOCI 5316,THE SOCIAL MIND AND INTERPERSONAL PROCESSES,[None],[None],required
SOCI 5317,CULTURAL SOCIOLOGY,[None],[None],required
SOCI 5318,"MEDIA, CULTURE, AND SOCIETY",[None],[None],required
SOCI 5319,SEMINARS IN SOCIAL INSTITUTIONS AND CHANGE,[None],[None],required
SOCI 5320,SOCIOLOGY OF EDUCATION,[None],[None],required
SOCI 5321,ENVIRONMENTAL SOCIOLOGY,[None],[None],required
SOCI 5322,SOCIOLOGY OF SPORT,[None],[None],required
SOCI 5323,SOCIOLOGY OF RELIGION,[None],[None],required
SOCI 5324,QUALITATIVE RESEARCH METHODS,[None],[None],required
SOCI 5325,READING THE QUALITATIVE CLASSICS,[None],[None],required
SOCI 5326,SOCIAL MOVEMENTS,[None],[None],required
SOCI 5330,SEMINARS IN SOCIAL DIFFERENTIATION,[None],[None],required
SOCI 5341,SEMINARS IN THEORY AND RESEARCH METHODS,[None],[None],required
SOCI 5385,NON-THESIS PROJECT,[None],[None],required
SOCI 5388,RESEARCH PRACTICUM / INTERNSHIP,[None],[None],required
SOCI 5389,TEACHING SOCIOLOGY,[None],[None],required
SOCI 5392,CONFERENCE COURSE IN SOCIOLOGY,[None],[None],required
SOCI 5393,THESIS SUBSTITUTE,[None],[None],required
SOCI 5398,THESIS,[None],[None],required
SOCI 5698,THESIS,[None],[None],required
