Formal Name,Course Name,Prerequisites,Corequisites,Requirement
SOCW 1331,SOCIAL WORK PROFESSIONALISM,[None],[None],required
SOCW 1350,SPECIAL ISSUES IN SOCIAL WORK,[None],[None],required
SOCW 2302,HUMAN BEHAVIOR AND THE SOCIAL ENVIRONMENT,[None],[None],required
SOCW 2325,INTRODUCTION TO STATISTICS FOR SOCIAL WORK AND THE SOCIAL SCIENCES,[None],[None],required
SOCW 2350,SPECIAL ISSUES IN SOCIAL WORK,[None],[None],required
SOCW 2361,INTRODUCTION TO SOCIAL WORK,[None],[None],required
SOCW 3300,SOCIAL WORK PROFESSIONALISM AND STUDENT SUCCESS,[None],[None],required
SOCW 3301,THEORIES OF HUMAN BEHAVIOR,[None],[None],required
SOCW 3303,SOCIAL WELFARE POLICY AND SERVICES,[None],[None],required
SOCW 3305,SOCIAL WORK PRACTICE I,[None],[None],required
SOCW 3306,SOCIAL WORK PRACTICE III: MACRO PRACTICE,"['SOCW 1231', 'SOCW 2361', 'SOCW 3305', 'SOCW 3307', 'MATH 1308']",[None],required
SOCW 3307,DIVERSE POPULATIONS,[None],[None],required
SOCW 3308,SOCIAL WORK RESEARCH METHODS,"['SOCW 1231', 'SOCW 3305', 'SOCW 3307', 'MATH 1308']",[None],required
SOCW 3309,SOCIAL WORK PRACTICE II,"['SOCW 1231', 'SOCW 2361', 'SOCW 3305', 'SOCW 3307', 'MATH 1308']",[None],required
SOCW 3310,ENVIRONMENTAL JUSTICE & GREEN SOCIAL WORK,[None],[None],required
SOCW 3312,DISABILITY & SOCIAL WORK,[None],[None],required
SOCW 3314,THE LATINA EXPERIENCE,[None],[None],required
SOCW 3315,INTRODUCTION TO SUBSTANCE USE DISORDERS,[None],[None],required
SOCW 3318,"SCREENING, ASSESSMENT, & ENGAGEMENT",[None],['SUT 3315'],required
SOCW 3319,"TREATMENT PLANNING, COLLABORATION & REFERRAL",['SOCW 3318'],[None],required
SOCW 3320,U.S. IMMIGRATION POLICY AND THE AMERICAN DREAM,[None],[None],required
SOCW 3321,SUBSTANCE USE TREATMENT,[None],['SUT 3319'],required
SOCW 4191,CONFERENCE COURSE,[None],[None],required
SOCW 4291,CONFERENCE COURSE,[None],[None],required
SOCW 4310,SOCIAL WORK WITH CHILDREN AND FAMILIES,"['SOCW 2302', 'SOCW 3301', 'SOCW 3309']",[None],required
SOCW 4314,INTIMATE PARTNER VIOLENCE,[None],[None],required
SOCW 4335,AGING IN AMERICAN SOCIETY,"['SOCW 2302', 'SOCW 3301', 'SOCW 3307']",[None],required
SOCW 4344,HEALTH INSURANCE AND ACCESS TO CARE,[None],[None],required
SOCW 4350,SPECIAL ISSUES IN SOCIAL WORK,[None],[None],required
SOCW 4364,PERSONAL RELATIONSHIPS,"['SOCW 3301', 'SOCW 2302', 'SOCW 3307']",[None],required
SOCW 4366,SEMINAR IN WOMEN'S ISSUES,"['SOCW 3301', 'SOCW 3307']",[None],required
SOCW 4370,SOCIAL WORK IN THE SCHOOLS,['SOCW 3309'],[None],required
SOCW 4371,INEQUITIES AND INCARCERATION,[None],[None],required
SOCW 4391,CONFERENCE COURSE,[None],[None],required
