Formal Name,Course Name,Prerequisites,Corequisites,Requirement
SPAN 1441,BEGINNING SPANISH I,[None],[None],required
SPAN 1442,BEGINNING SPANISH II,['SPAN 1441'],[None],required
SPAN 1491,CONFERENCE COURSE,[None],[None],required
SPAN 2300,SPANISH IN THE UNITED STATES,[None],[None],required
SPAN 2301,TOPICS IN SPANISH LITERATURE IN TRANSLATION,"['ENGL 1301', 'ENGL 1302']",[None],required
SPAN 2310,HISPANIC CULTURE IN THE WORLD,[None],[None],required
SPAN 2312,SPANISH FOR NATIVE/HERITAGE SPEAKERS I,[None],[None],required
SPAN 2313,INTERMEDIATE SPANISH I,['SPAN 1442'],[None],required
SPAN 2314,INTERMEDIATE SPANISH II,['SPAN 2313'],[None],required
SPAN 2315,SPANISH FOR NATIVE/HERITAGE SPEAKERS II,['SPAN 2312'],[None],required
SPAN 2391,CONFERENCE COURSE,[None],[None],required
SPAN 3302,TOPICS IN HISPANIC LITERATURE IN TRANSLATION,[None],[None],required
SPAN 3303,ADVANCED SPANISH CONVERSATION,['SPAN 2314'],[None],required
SPAN 3304,LANGUAGE IN MEXICO,['SPAN 2314'],[None],required
SPAN 3305,ADVANCED SPANISH FOR HERITAGE SPEAKERS,['SPAN 2315'],[None],required
SPAN 3308,SPANISH FOR HEALTH AND HUMAN SERVICES,['SPAN 2314'],[None],required
SPAN 3309,SPANISH FOR THE PROFESSIONS,['SPAN 2314'],[None],required
SPAN 3310,SPANISH LOCALIZATION AND TRANSLATION I,['SPAN 2314'],[None],required
SPAN 3311,SPANISH CULTURE AND CIVILIZATION,['SPAN 2314'],[None],required
SPAN 3312,LATIN AMERICAN CULTURE AND CIVILIZATION,['SPAN 2314'],[None],required
SPAN 3313,"TOPICS IN HISPANIC LANGUAGE, LITERATURE & CULTURE",['SPAN 2314'],[None],required
SPAN 3314,ADVANCED SPANISH GRAMMAR,['SPAN 2314'],[None],required
SPAN 3315,SPANISH COMPOSITION,['SPAN 3305'],[None],required
SPAN 3316,EXPLORING THE SPANISH LANGUAGE,['SPAN 3305'],[None],required
SPAN 3317,MEXICAN CULTURE AND CIVILIZATION,['SPAN 2314'],[None],required
SPAN 3318,MEXICAN POPULAR CULTURE,['SPAN 2314'],[None],required
SPAN 3320,INTRODUCTION TO HISPANIC LITERATURE AND CULTURE,['SPAN 3315'],[None],required
SPAN 3321,SPANISH LOCALIZATION AND TRANSLATION II,['SPAN 3310'],[None],required
SPAN 3322,THE SOUNDS OF SPANISH,['SPAN 3305'],[None],required
SPAN 3323,"MULTIMEDIA TRANSLATION, TRANSCREATION, AND SOFTWARE LOCALIZATION",['SPAN 2314'],[None],required
SPAN 3324,INTRODUCTION TO CREATIVE WRITING,['SPAN 3305'],[None],required
SPAN 3340,COMMUNITY TRANSLATION,['SPAN 2314'],[None],required
SPAN 3341,COMMUNITY INTERPRETING,['SPAN 2314'],[None],required
SPAN 3345,INTRODUCTION TO COMPUTER-ASSISTED TRANSLATION,[None],[None],required
SPAN 3391,CONFERENCE COURSE,[None],[None],required
SPAN 3393,SPANISH INTERNSHIP,[None],[None],required
SPAN 4191,CONFERENCE COURSE,[None],[None],required
SPAN 4310,TOPICS IN PENINSULAR SPANISH LITERATURE AND CULTURE TO THE EIGHTEENTH CENTURY,['SPAN 3315'],[None],required
SPAN 4311,"TOPICS IN PENINSULAR SPANISH LITERATURE AND CULTURE, EIGHTEENTH CENTURY TO THE PRESENT",['SPAN 3315'],[None],required
SPAN 4312,INTERCULTURAL COMPETENCE FOR GLOBAL COMMUNICATION,['SPAN 3315'],[None],required
SPAN 4313,TOPICS IN HISPANIC CULTURE,['SPAN 3315'],[None],required
SPAN 4314,TOPICS IN LATIN-AMERICAN LITERATURE AND CULTURE TO MODERNISM,['SPAN 3315'],[None],required
SPAN 4315,"TOPICS IN CONTEMPORARY LATIN-AMERICAN LITERATURE AND CULTURE, MODERNISM TO THE PRESENT",['SPAN 3315'],[None],required
SPAN 4316,ADVANCED SPANISH LANGUAGE STUDY,['SPAN 3314'],[None],required
SPAN 4317,U.S.-MEXICO LITERATURE & CULTURE,['SPAN 3315'],[None],required
SPAN 4318,MEXICAN LITERATURE,['SPAN 3315'],[None],required
SPAN 4320,"TOPICS IN SPANISH LANGUAGE, WRITING AND THEORY",['SPAN 3315'],[None],required
SPAN 4321,TOPICS IN PROFESSIONAL WRITING,['SPAN 3315'],[None],required
SPAN 4322,TOPICS IN CREATIVE WRITING,['SPAN 3315'],[None],required
SPAN 4327,WOMEN IN HISPANIC LITERATURE,['SPAN 3315'],[None],required
SPAN 4330,TOPICS IN SPANISH LINGUISTICS,['SPAN 3305'],[None],required
SPAN 4332,TOPICS IN SPANISH DIALECTOLOGY,['SPAN 3305'],[None],required
SPAN 4334,CONTEMPORARY HISPANIC CULTURE,['SPAN 3315'],[None],required
SPAN 4335,BUSINESS SPANISH,['SPAN 3315'],[None],required
