Formal Name,Course Name,Prerequisites,Corequisites,Requirement
SPED 3301,CHARACTERISTICS OF INDIVIDUALS WITH DISABILITIES,[None],[None],required
SPED 3302,APPLIED BEHAVIOR ANALYSIS FOR TEACHERS,[None],[None],required
SPED 4301,STRATEGIES FOR TEACHING INDIVIDUALS WITH HIGH INCIDENCE DISABILITIES: READING AND WRITING,[None],[None],required
SPED 4302,COLLABORATIVE PRACTICES AND TRANSITION PLANNING IN SPECIAL EDUCATION,[None],[None],required
SPED 4303,ADVANCED CONTENT AREA STRATEGIES FOR TEACHING INDIVIDUALS WITH DISABILITIES,[None],[None],required
SPED 4304,ASSISTIVE TECHNOLOGY,[None],[None],required
SPED 4307,SPECIAL EDUCATION LEGAL AND POLICY ISSUES,[None],[None],required
SPED 4601,PRACTICUM IN SPECIAL EDUCATION,[None],[None],required
SPED 4687,CLINICAL TEACHING IN EC-6 AND SPECIAL EDUCATION,[None],[None],required
SPED 5301,CHARACTERISTICS OF INDIVIDUALS WITH DISABILITIES,[None],[None],required
SPED 5302,APPLIED BEHAVIOR ANALYSIS FOR TEACHERS,[None],[None],required
SPED 5303,COLLABORATIVE PRACTICES AND TRANSITION PLANNING IN SPECIAL EDUCATION,[None],[None],required
SPED 5304,INSTRUCTIONAL STRATEGIES FOR STUDENTS WITH DISABILITIES,[None],[None],required
SPED 5305,ADVANCED LEARNING DISABILITIES,[None],[None],required
SPED 5306,ASSISTIVE TECHNOLOGY,[None],[None],required
SPED 5307,SPECIAL EDUCATION LEGAL AND POLICY ISSUES,[None],[None],required
SPED 5308,ADVANCED INTELLECTUAL DISABILITIES,[None],[None],required
SPED 5309,THE NEUROSCIENCE OF TYPICAL & ATYPICAL LANGUAGE DEVELOPMENT,[None],[None],required
SPED 5310,ADVANCED BEHAVIORAL DISORDERS,[None],[None],required
SPED 5311,CLASSROOM ASSESSMENT OF STUDENTS WITH DISABILITIES,[None],[None],required
SPED 5312,SPECIAL EDUCATION FIELD EXPERIENCE,[None],[None],required
SPED 5313,SINGLE SUBJECT RESEARCH,[None],[None],required
SPED 5314,CURRENT TOPICS IN SPECIAL EDUCATION AND RESEARCH,[None],[None],required
SPED 5315,MULTI-TIERED SYSTEM OF SUPPORT,[None],[None],required
SPED 5316,ADVANCED APPLIED BEHAVIORAL ANALYSIS,[None],[None],required
SPED 5317,AUTISM SPECTRUM DISORDERS,[None],[None],required
SPED 5318,MEDICAL AND PHYSICAL MANAGEMENT OF STUDENTS WITH MULTIPLE DISABILITIES,[None],[None],required
SPED 5319,METHODS OF TEACHING STUDENTS WITH MODERATE/SEVERE DISABILITIES AND AUTISM,[None],[None],required
SPED 5320,CHARACTERISTICS OF STUDENTS WITH SEVERE DISABILITIES,[None],[None],required
SPED 5601,CLINICAL TEACHING,[None],[None],required
