Formal Name,Course Name,Prerequisites,Corequisites,Requirement
SUT 1331,PROFESSIONALISM IN SUBSTANCE USE TREATMENT,[None],[None],required
SUT 1350,SPECIAL ISSUES IN SUBSTANCE USE TREATMENT,[None],[None],required
SUT 2350,SPECIAL ISSUES IN SUBSTANCE USE TREATMENT,[None],[None],required
SUT 3300,STUDENT SUCCESS & PROFESSIONALISM IN SUBSTANCE USE TREATMENT,[None],[None],required
SUT 3303,SOCIAL WELFARE POLICY AND SERVICES,[None],[None],required
SUT 3305,SUT WORK PRACTICE I INTERVIEWING SKILLS,[None],[None],required
SUT 3308,SOCIAL WORK RESEARCH METHODS,"['SUT 1231', 'SOCW 3300', 'SOCW 3305', 'SOCW 3307', 'MATH 1308']",[None],required
SUT 3309,SUT PRACTIC II,[None],[None],required
SUT 3315,INTRODUCTION TO SUBSTANCE USE DISORDERS,[None],[None],required
SUT 3318,"SCREENING, ASSESSMENT, & ENGAGEMENT",[None],['SUT 3315'],required
SUT 3319,"TREATMENT PLANNING, COLLABORATION & REFERRAL",['SOCW 3318'],[None],required
SUT 3321,SUBSTANCE USE TREATMENT,[None],['SUT 3319'],required
SUT 3322,PROFESSIONAL AND ETHICAL RESPONSIBILITY,['SUT 3321'],[None],required
SUT 3350,SPECIAL ISSUES IN SUT,[None],[None],required
SUT 4320,SOCIAL WORK & ADDICTIVE BEHAVIOR,[None],[None],required
SUT 4344,HEALTH INSURANCE AND ACCESS TO CARE,[None],[None],required
SUT 4350,SPECIAL ISSUES IN SUBSTANCE USE TREATMENT,[None],[None],required
SUT 4451,SUBSTANCE USE TREATMENT FIELD SEMINAR I,"['SOCW 3301', 'PSYC 3318', 'ECON 2337', 'SUT 3318', 'PSYC 3303', 'SOCW 3308', 'SUT 3319', 'SUT 3321', 'SUT 3322', 'SOCW 4344']",[None],required
SUT 4452,SUBSTANCE USE TREATMENT FIELD SEMINAR II,"['SOCW 3301', 'PSYC 3318', 'ECON 2337', 'SUT 3318', 'PSYC 3303', 'SOCW 3308', 'SUT 3319', 'SUT 3321', 'SUT 3322', 'SOCW 4344']",[None],required
SUT 4455,SUBSTANCE USE TREATMENT FIELD SEMINAR BLOCK PART 1,"['SOCW 3301', 'PSYC 3318', 'ECON 2337', 'SUT 3318', 'PSYC 3303', 'SOCW 3308', 'SUT 3319', 'SUT 3321', 'SUT 3322', 'SOCW 4344']",[None],required
SUT 4456,SUBSTANCE USE TREATMENT FIELD SEMINAR BLOCK PART 2,"['SOCW 3301', 'PSYC 3318', 'ECON 2337', 'SUT 3318', 'PSYC 3303', 'SOCW 3308', 'SUT 3319', 'SUT 3321', 'SUT 3322', 'SOCW 4344']",[None],required
SUT 4551,SUBSTANCE USE TREATMENT FIELD INSTRUCTION I,"['SOCW 3301', 'PSYC 3318', 'ECON 2337', 'SUT 3318', 'PSYC 3303', 'SOCW 3308', 'SUT 3319', 'SUT 3321', 'SUT 3322', 'SOCW 4344']",[None],required
SUT 4552,SUBSTANCE USE TREATMENT FIELD INSTRUCTION II,"['SOCW 3301', 'PSYC 3318', 'ECON 2337', 'SUT 3318', 'PSYC 3303', 'SOCW 3308', 'SUT 3319', 'SUT 3321', 'SUT 3322', 'SOCW 4344']",[None],required
SUT 4555,SUBSTANCE USE TREATMENT FIELD INSTRUCTIONBLOCK PART 1,"['SOCW 3301', 'PSYC 3318', 'ECON 2337', 'SUT 3318', 'PSYC 3303', 'SOCW 3308', 'SUT 3319', 'SUT 3321', 'SUT 3322', 'SOCW 4344']",[None],required
SUT 4556,SUBSTANCE USE TREATMENT FIELD INSTRUCTION BLOCK PART 2,"['SOCW 3301', 'PSYC 3318', 'ECON 2337', 'SUT 3318', 'PSYC 3303', 'SOCW 3308', 'SUT 3319', 'SUT 3321', 'SUT 3322', 'SOCW 4344']",[None],required
