Formal Name,Course Name,Prerequisites,Corequisites,Requirement
THEA 0010,BFA STUDIO,[None],[None],required
THEA 0011,BA THEATRE STUDIO,[None],[None],required
THEA 0181,THEATRE PRACTICUM,[None],[None],required
THEA 0182,THEATRE ARTS TEACHING LAB,[None],[None],required
THEA 1101,THEATRE ARTS SYMPOSIUM,[None],[None],required
THEA 1140,PRIVATE LESSONS IN VOICE-MUSICAL THEATRE,[None],[None],required
THEA 1141,PRIVATE LESSONS IN VOICE-MUSICAL THEATRE,['MUSI 1140'],[None],required
THEA 1302,VOICE AND SPEECH FUNDAMENTALS,[None],[None],required
THEA 1303,FUNDAMENTALS OF PRESENTATION,[None],[None],required
THEA 1304,STAGECRAFT I,[None],[None],required
THEA 1305,INTRODUCTION TO THEATRICAL DESIGN,[None],[None],required
THEA 1307,ACTING: FUNDAMENTALS,[None],[None],required
THEA 1310,MUSICAL THEATRE MUSICIANSHIP I,[None],[None],required
THEA 1315,THEATRICAL MAKEUP,[None],[None],required
THEA 1342,THEATRE AND FILM APPRECIATION,[None],[None],required
THEA 1343,INTRODUCTION TO THEATRE,[None],[None],required
THEA 2140,PRIVATE LESSONS IN VOICE-MUSICAL THEATRE,['MUSI 1141'],[None],required
THEA 2141,PRIVATE LESSONS IN VOICE-MUSICAL THEATRE,['MUSI 2140'],[None],required
THEA 2302,VOCAL PRODUCTION,['THEA 1303'],[None],required
THEA 2306,COSTUME TECHNOLOGY,[None],[None],required
THEA 2309,SCRIPT ANALYSIS,[None],[None],required
THEA 2310,DRAWING AND RENDERING FOR THE THEATRE,[None],[None],required
THEA 2311,MUSICAL THEATRE MUSICIANSHIP II,['THEA 1310'],[None],required
THEA 2337,IMPROVISATION: SHORT FORM,[None],[None],required
THEA 2340,MOVEMENT PERFORMANCE: FUNDAMENTALS,[None],[None],required
THEA 2352,SCENE STUDY,['THEA 1307'],[None],required
THEA 2363,STAGE MANAGEMENT,[None],[None],required
THEA 3140,PRIVATE LESSONS IN VOICE-MUSICAL THEATRE,['MUSI 2141'],[None],required
THEA 3141,PRIVATE LESSONS IN VOICE-MUSICAL THEATRE,['MUSI 3140'],[None],required
THEA 3300,DIRECTING I,"['THEA 1305', 'THEA 1307', 'THEA 1343', 'THEA 2309']",[None],required
THEA 3301,SCENE DESIGN I,"['THEA 1304', 'THEA 1305', 'THEA 1343', 'THEA 3309', 'THEA 3318']",[None],required
THEA 3302,FILM STUDIES,[None],[None],required
THEA 3303,SOUND DESIGN,"['THEA 1305', 'THEA 3316']",[None],required
THEA 3304,SCENIC TECHNOLOGY,['THEA 1304'],[None],required
THEA 3305,LIGHTING DESIGN I,"['THEA 1305', 'THEA 3316', 'THEA 3318']",[None],required
THEA 3306,SCENE PAINTING FOR THE STAGE,['THEA 1304'],[None],required
THEA 3307,COSTUME HISTORY,[None],[None],required
THEA 3308,ACTING FOR THE CAMERA AND DIGITAL MEDIA,['THEA 2352'],[None],required
THEA 3309,DRAMATURGY,['THEA 2309'],[None],required
THEA 3310,CREATIVE DRAMA,[None],[None],required
THEA 3311,DIALECTS IN PERFORMANCE,['THEA 1303'],[None],required
THEA 3312,THEATRE FOR YOUNG AUDIENCES,[None],[None],required
THEA 3313,PERIOD STYLES,[None],[None],required
THEA 3314,VOICE AND MOVEMENT,"['THEA 1303', 'THEA 2340']",[None],required
THEA 3316,LIGHTING AND SOUND TECHNOLOGY,[None],[None],required
THEA 3317,SINGING FOR THE ACTOR I,['THEA 1307'],[None],required
THEA 3318,DRAFTING FOR THE ARTS,[None],[None],required
THEA 3320,PLAYWRITING I,[None],[None],required
THEA 3321,PERFORMANCE DEVISING,['THEA 2309'],[None],required
THEA 3337,IMPROVISATION: LONG FORM,[None],[None],required
THEA 3342,COSPLAY COSTUME FABRICATION,[None],[None],required
THEA 3343,MAKEUP FOR THE CAMERA,[None],[None],required
THEA 3346,STAGE COMBAT,[None],[None],required
THEA 3350,FABRIC MODIFICATION AND COSTUME CRAFTS,[None],[None],required
THEA 3351,"ROBOTS, DIGITAL HUMANITIES, AND THEATRE",[None],[None],required
THEA 3352,STAGE MANAGEMENT & THEATRE ADMINISTRATION,['THEA 1343'],[None],required
THEA 3355,UNIVERSAL DESIGN & ACCESSIBILITY IN THE PERFORMING ARTS,[None],[None],required
THEA 3360,GENDER AND THE PERFORMING ARTS,[None],[None],required
THEA 3361,WOMEN IN THEATRE,[None],[None],required
THEA 3363,THEATRICAL PRODUCTION MANAGEMENT,['THEA 2363'],[None],required
THEA 3387,ART DIRECTION I,[None],[None],required
THEA 4110,THEATRE PEDAGOGY FIELD-BASED EXPERIENCE,[None],[None],required
THEA 4140,PRIVATE LESSONS IN VOICE-MUSICAL THEATRE,['MUSI 3141'],[None],required
THEA 4141,PRIVATE LESSONS IN VOICE-MUSICAL THEATRE,['MUSI 4140'],[None],required
THEA 4191,CONFERENCE COURSE,[None],[None],required
THEA 4201,BUSINESS OF ACTING,[None],[None],required
THEA 4270,PRIVATE LESSONS IN VOICE-MUSICAL THEATRE,[None],[None],required
THEA 4271,PRIVATE LESSONS IN VOICE - MUSICAL THEATRE,[None],[None],required
THEA 4291,CONFERENCE COURSE,[None],[None],required
THEA 4300,DIRECTING II,['THEA 3300'],[None],required
THEA 4301,ADVANCED ACTING: ENSEMBLE,"['THEA 2352', 'THEA 2340']",[None],required
THEA 4303,CLASSICAL THEATRE HISTORY,['THEA 1343'],[None],required
THEA 4304,MODERN THEATRE HISTORY,['THEA 1343'],[None],required
THEA 4305,SCENE DESIGN II,['THEA 3301'],[None],required
THEA 4306,LIGHTING DESIGN II,['THEA 3305'],[None],required
THEA 4310,MUSICAL THEATRE HISTORY,[None],[None],required
THEA 4311,SHAKESPEARE AND VERSE IN PERFORMANCE,"['THEA 1303', 'THEA 2352']",[None],required
THEA 4314,ADVANCED PRODUCTION TECHNIQUES,['THEA 3304'],[None],required
THEA 4315,SPECIAL EFFECTS MAKEUP DESIGN,[None],[None],required
THEA 4317,SINGING FOR THE ACTOR II,"['THEA 1307', 'THEA 3317']",[None],required
THEA 4320,"STAGE WELDING, RIGGING, AND FABRICATION",['THEA 1304'],[None],required
THEA 4322,PLAYWRITING II,['THEA 3320'],[None],required
THEA 4325,PERFORMANCE THEORY,['THEA 2309'],[None],required
THEA 4330,U.S. THEATRE HISTORY,[None],[None],required
THEA 4333,MUSICAL THEATRE AUDITIONING AND SHOWCASE,"['THEA 2352', 'THEA 4317', 'DNCE 3233']",[None],required
THEA 4334,ACTING: AUDITIONING AND SHOWCASE,"['THEA 1303', 'THEA 2309', 'THEA 2352', 'THEA 2340', 'THEA 4341']",[None],required
THEA 4340,PHYSICAL THEATRE,"['THEA 2340', 'THEA 2352']",[None],required
THEA 4341,ADVANCED SCENE STUDY,"['THEA 1303', 'THEA 1343', 'THEA 2352', 'THEA 2309', 'THEA 2340']",[None],required
THEA 4343,COSTUME DESIGN,"['THEA 1343', 'THEA 1305', 'THEA 2309']",[None],required
THEA 4344,PORTFOLIO & THE BUSINESS OF DESIGN,[None],[None],required
THEA 4345,SUMMER THEATRE ACTIVITIES,[None],[None],required
THEA 4346,THEATRICAL WEAPONRY,[None],[None],required
THEA 4347,ADVANCED STUDIES IN THEATRE DESIGN/PRODUCTION PRACTICUM,[None],[None],required
THEA 4355,"STRATEGIES, ASSESSMENT, AND CHILD DEVELOPMENT IN THEATRE PEDAGOGY",[None],[None],required
THEA 4363,THEATRE MANAGEMENT AND ADMINISTRATION,['THEA 2363'],[None],required
THEA 4387,ART DIRECTION II,[None],[None],required
THEA 4391,CONFERENCE COURSE,[None],[None],required
THEA 4393,SPECIAL TOPICS,[None],[None],required
THEA 4394,SENIOR PROJECT,[None],[None],required
THEA 4395,THEATRE INTERNSHIP LEVEL I,[None],[None],required
THEA 4695,THEATRE INTERNSHIP LEVEL 2,[None],[None],required
THEA 4995,THEATRE INTERNSHIP LEVEL 3,[None],[None],required
THEA 5391,CONFERENCE COURSE,[None],[None],required
THEA 5393,TOPICS IN THEATRE ARTS,[None],[None],required
