Formal Name,Course Name,Prerequisites,Corequisites,Requirement
UDES 1301,INTRODUCTION TO PRINCIPLES OF SUSTAINABLE URBAN DESIGN,[None],[None],required
UDES 1304,DIGITAL METHODS IN SUSTAINABLE URBAN DESIGN,"['UDES 1301', 'UDES 1341']",[None],required
UDES 1341,DESIGN COMMUNICATIONS,[None],[None],required
UDES 2441,URBAN DIAGRAMMING AND COMMUNICATION I,['UDES 1301'],[None],required
UDES 2303,Restricted to Sustainable Urban Design-intended and SUDBS_UNIV students. UDES 2442. URBAN DIAGRAMMING AND COMMUNICATION II,"['UDES 1301', 'UDES 2303', 'UDES 2441']",[None],required
UDES 2551,URBAN DESIGN STUDIO I: URBAN RESILIENCY,['UDES 2442'],[None],required
UDES 3303,"HISTORY OF URBAN DESIGN, FORM, AND INFRASTRUCTURE","['UDES 3552', 'LARC 4324']",[None],required
UDES 3552,URBAN DESIGN STUDIO II: MOBILITY,['UDES 1301'],[None],required
UDES 3551,Restricted to Sustainable Urban Design majors. Students must have a minimum cumulative GPA of 2.8 and a minimum major course GPA of 2.8. UDES 4304. URBAN SUSTAINABILITY CAPSTONE PREP,['UDES 4551'],[None],required
UDES 4391,CONFERENCE COURSE,[None],[None],required
UDES 4395,TOPICS IN SUSTAINABLE URBAN DESIGN,[None],[None],required
UDES 4404,URBAN SUSTAINABILITY PROJECT CAPSTONE,['UDES 3552'],[None],required
UDES 4551,URBAN DESIGN STUDIO III: CLIMATE CHANGE,['UDES 3552'],[None],required
UDES 4552,URBAN DESIGN STUDIO IV: ADVANCED SUSTAINABLE URBAN DESIGN,['UDES 4551'],[None],required
