Formal Name,Course Name,Prerequisites,Corequisites,Requirement
AREN 1105,INTRODUCTION TO ARCHITECTURAL ENGINEERING,[None],[None],required
AREN 1152,INTRODUCTION TO CONSTRUCTION DRAFTING,"['MATH 1421', 'MATH 1426', 'MATH 1426']",[None],required
AREN 1205,INTRODUCTION TO ARCHITECTURAL ENGINEERING,[None],[None],required
AREN 1252,COMPUTER TOOLS - AUTOCAD,['MATH 1421'],[None],required
AREN 2152,COMPUTER TOOLS - MATHCAD,['PHYS 1443'],[None],required
AREN 2153,COMPUTER TOOLS - CIVIL 3D,['AREN 1252'],[None],required
AREN 2191,PROBLEMS IN ARCHITECTURAL ENGINEERING,[None],[None],required
AREN 2213,BUILDING SCIENCE,"['CHEM 1465', 'PHYS 1444']",[None],required
AREN 2221,DYNAMICS,"['AREN 2311', 'MATH 2425']",[None],required
AREN 2252,INTRODUCTION TO CONSTRUCTION DRAFTING,"['MATH 1421', 'MATH 1426', 'MATH 1426']",[None],required
AREN 2291,PROBLEMS IN ARCHITECTURAL ENGINEERING,[None],[None],required
AREN 2311,STATICS,['PHYS 1443'],[None],required
AREN 2312,STATICS & DYNAMICS FOR AREN,"['MATH 2425', 'PHYS 1443']",[None],required
AREN 2313,MECHANICS OF MATERIALS I,"['AREN 2311', 'MATH 2425']",[None],required
AREN 2315,CONSTRUCTION MATERIALS AND METHODS,['AREN 1205'],[None],required
AREN 2321,BUILDINGS AND THE ENVIRONMENT,['AREN 1205'],[None],required
AREN 2391,PROBLEMS IN ARCHITECTURAL ENGINEERING,[None],[None],required
AREN 3110,ARCHITECTURAL ENGINEERING COMMUNICATIONS,['COMS 2302'],[None],required
AREN 3143,PROPERTIES AND BEHAVIOR OF SOILS,['AREN 3343'],[None],required
AREN 3191,PROBLEMS IN ARCHITECTURAL ENGINEERING,[None],[None],required
AREN 3218,ARCHITECTURAL ENGINEERING GEOMETRIC DESIGN TOOLS,"['MATH 1421', 'AREN 1205']",[None],required
AREN 3291,PROBLEMS IN ARCHITECTURAL ENGINEERING,[None],[None],required
AREN 3301,STOCHASTIC MODELS FOR CIVIL ENGINEERING,['MATH 2425'],[None],required
AREN 3305,BASIC FLUID MECHANICS,"['AREN 2311', 'MATH 3319']",[None],required
AREN 3311,CONSTRUCTION ENGINEERING,['IE 2308'],[None],required
AREN 3315,BUILDING HYDRAULIC SERVICE SYSTEMS,['AREN 3305'],[None],required
AREN 3330,APPLICATIONS OF BUILDING CODES IN ARCHITECTURE,['AREN 2315'],[None],required
AREN 3331,MECHANICAL AND ELECTRICAL SYSTEMS,['PHYS 1444'],[None],required
AREN 3341,STRUCTURAL ANALYSIS,['AREN 2313'],[None],required
AREN 3343,SOIL MECHANICS,"['AREN 2313', 'AREN 3143']",[None],required
AREN 3346,ELECTRICAL SYSTEMS & LIGHTING FOR ARCHITECTURAL ENGINEERS,"['MATH 2425', 'PHYS 1444']",[None],required
AREN 3391,PROBLEMS IN ARCHITECTURAL ENGINEERING,[None],[None],required
AREN 4300,ADVANCED TOPICS IN ARCHITECTURAL ENGINEERING,[None],[None],required
AREN 4301,ADVANCED TOPICS IN ARCHITECTURAL ENGINEERING WITH LAB,[None],[None],required
AREN 4307,CONSTRUCTION SUSTAINABILITY,['AREN 3311'],[None],required
AREN 4309,THERMODYNAMICS FOR ARCHITECTURAL ENGINEERS,"['MATH 2425', 'PHYS 1444', 'CHEM 1465', 'CHEM 1442']",[None],required
AREN 4314,TECHNOLOGIES FOR HIGH PERFORMANCE BUILDINGS,['AREN 2213'],[None],required
AREN 4316,BUILDING STRUCTURAL SYSTEMS,['AREN 3341'],[None],required
AREN 4318,MACHINE LEARNING IN CIVIL ENGINEERING,['AREN 3301'],[None],required
AREN 4320,"SYSTEM RESILIENCE, RELIABILITY, & PERFORMANCE IN AREN","['AREN 3301', 'AREN 3315', 'AREN 3346', 'AREN 4331', 'AREN 4347']",[None],required
AREN 4326,GIS/HYDROLOGIC & HYDRAULIC MODELING,['AREN 3305'],[None],required
AREN 4331,BUILDING HVAC SYSTEMS DESIGN,['PHYS 1444'],[None],required
AREN 4334,DRONES & ADVANCED CONSTRUCTION TECHNOLOGY,['AREN 3311'],[None],required
AREN 4341,SUSTAINABLE BUILDING ENERGY MODELING,['AREN 3213'],[None],required
AREN 4343,HUMAN INTERACTION IN THE BUILT ENVIRONMENT,[None],[None],required
AREN 4347,REINFORCED CONCRETE DESIGN,['AREN 3341'],[None],required
AREN 4348,STRUCTURAL DESIGN IN STEEL,['AREN 3341'],[None],required
AREN 4352,PROFESSIONAL PRACTICE,[None],[None],required
AREN 4356,ADVANCED STEEL DESIGN,['AREN 4348'],[None],required
AREN 4360,DESIGN OF STRUCTURAL MASONRY,['AREN 3341'],[None],required
AREN 4361,ADVANCED REINFORCED CONCRETE DESIGN,['AREN 4347'],[None],required
AREN 4365,STRUCTURAL WOOD DESIGN,['AREN 3341'],[None],required
AREN 4383,SENIOR PROJECT,"['AREN 4347', 'AREN 4352']",[None],required
AREN 4391,PROBLEMS IN ARCHITECTURAL ENGINEERING,[None],[None],required
AREN 4393,INDUSTRIAL INTERNSHIP,[None],[None],required
AREN 4394,RESEARCH INTERNSHIP,[None],[None],required
